JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457882.85387,14.929,0.040,,V,HBB,,ENSEMBLE,000-BMH-286,X18772FR,BOXED X 3  ERR = STOM(MAG),0,1.71,Z,,14.610,,TCP J17394608-2457555,,STD,,,,
2457884.0551,15.14,0.05,,V,OCN,,150,157,X18761H,iT30. ,0,1.35,Z,14.995,15.730,,TCP J17394608-2457555,AAVSO,STD,,,,
2457884.0608,13.53,0.05,,R,OCN,,144,157,X18761H,iT30. The close faint NIR companion noted in VSX is excluded from this observation. ,0,1.31,Z,13.529,14.441,,TCP J17394608-2457555,AAVSO,STD,,,,
2457884.1474,15.24,0.05,,V,OCN,,152,157,X18761H,iT32. 6 star ensemble for comparison. Nova is in or projected against a massive dark lane.,0,1.03,Z,15.168,15.730,,TCP J17394608-2457555,AAVSO,STD,,,,
2457884.1496,11.64,0.06,,I,OCN,,126,131,X18761H,iT32. 5 star ensemble used for comparison. Faint Ic companion excluded from measure. See VSX note.,0,1.02,Z,11.178,11.811,,TCP J17394608-2457555,AAVSO,STD,,,,
2457884.1514,14.78,0.03,,CV,OCN,,140,147,X18761H,iT32. Not UNFILTERED but LUMINANCE filter using neutral colored comps 140 and 147.,0,1.02,Z,14.027,14.673,,TCP J17394608-2457555,AAVSO,STD,,,,
2457884.8553,15.18,0.05,,V,OCN,,144,157,X18761H,iT21. Bright H-alpha source. Fluxes for the 109 and 123 comps are 070 and 030 while the nova is 040.,0,1.95,Z,14.413,15.730,,TCP J17394608-2457555,AAVSO,STD,,,,
2457884.8611,13.50,0.05,,R,OCN,,140,157,X18761H,"iT21. 5 star ensemble for comparison. Companion at 6"" excluded. ",0,1.93,Z,13.255,14.441,,TCP J17394608-2457555,AAVSO,STD,,,,
2457884.8626,11.63,0.04,,I,OCN,,126,144,X18761H,iT21. 6 star ensemble used for comparison. Ic companion excluded from measure.,0,1.92,Z,11.178,12.709,,TCP J17394608-2457555,AAVSO,STD,,,,
2457885.0983,14.99,0.08,,V,OCN,,150,157,X18761H,iT30.,0,1.13,Z,14.995,15.730,,TCP J17394608-2457555,AAVSO,STD,,,,
2457885.1002,13.39,0.07,,R,OCN,,144,157,X18761H,iT30. 4 star ensemble for comparison. Close companion excluded.,0,1.12,Z,13.529,14.441,,TCP J17394608-2457555,AAVSO,STD,,,,
