JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455649.9361,13.0,,,Vis.,KRB,,12.0,,NSGR2011,,,,Z,,,,V5588 SGR,AAVSO,STD,,,,
2455649.96683,14.514,0.044,,B,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,2.016,Z,,14.008,,V5588 SGR,AAVSO,STD,,,,
2455649.96938,12.681,0.011,,V,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.998,Z,,13.163,,V5588 SGR,AAVSO,STD,,,,
2455649.97056,11.184,0.007,,R,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.990,Z,,12.699,,V5588 SGR,AAVSO,STD,,,,
2455649.97176,10.092,0.025,,I,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.981,Z,,12.118,,V5588 SGR,AAVSO,STD,,,,
2455650.96042,<12.0,,,Vis.,ASA,S,12.0,,4359yz,,,,Z,,,,N SGR 2011 NO. 2,AAVSO,STD,,,,
2455650.96527,14.212,0.042,,B,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.998,Z,,14.040,,V5588 SGR,AAVSO,STD,,,,
2455650.97198,12.359,0.016,,V,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.960,Z,,13.177,,V5588 SGR,AAVSO,STD,,,,
2455650.97384,10.833,0.003,,R,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.949,Z,,12.678,,V5588 SGR,AAVSO,STD,,,,
2455650.97520,9.753,0.051,,I,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.940,Z,,12.099,,V5588 SGR,AAVSO,STD,,,,
2455652.95955,14.331,0.027,,B,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,2.001,Z,,14.025,,V5588 SGR,AAVSO,STD,,,,
2455652.96626,12.477,0.019,,V,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.962,Z,,13.164,,V5588 SGR,AAVSO,STD,,,,
2455652.96810,10.903,0.019,,R,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.952,Z,,12.690,,V5588 SGR,AAVSO,STD,,,,
2455652.96934,9.801,0.071,,I,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.943,Z,,12.090,,V5588 SGR,AAVSO,STD,,,,
2455653.95417,<11.8,,,Vis.,ASA,,118,,4579qs,,,,Z,,,,VSX J181021.3-230530,AAVSO,STD,,,,
2455653.95782,14.157,0.013,,B,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.993,Z,,14.038,,V5588 SGR,AAVSO,STD,,,,
2455653.96236,12.338,0.009,,V,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.971,Z,,13.185,,V5588 SGR,AAVSO,STD,,,,
2455653.96359,10.737,0.007,,R,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.964,Z,,12.695,,V5588 SGR,AAVSO,STD,,,,
2455653.96436,9.692,0.036,,I,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.958,Z,,12.101,,V5588 SGR,AAVSO,STD,,,,
2455654.66620,14.135,0.093,,B,BZU,,GSC 6843-00118,,4645BS,COMP V=11.025  B-V=1.208  V-R=0.623 V-I=1.232,1,2.462,Z,-9.937,,,V5588 SGR,,STD,1,,,
2455654.66972,12.364,0.026,,V,BZU,,GSC 6843-00118,,4645BS,COMP V=11.025  B-V=1.208  V-R=0.623 V-I=1.232,1,2.435,Z,-11.784,,,V5588 SGR,,STD,1,,,
2455654.67252,10.702,0.025,,R,BZU,,GSC 6843-00118,,4645BS,COMP V=11.025  B-V=1.208  V-R=0.623 V-I=1.232,1,2.416,Z,-12.632,,,V5588 SGR,,STD,1,,,
2455654.67544,9.651,0.016,,I,BZU,,GSC 6843-00118,,4645BS,COMP V=11.025  B-V=1.208  V-R=0.623 V-I=1.232,1,2.398,Z,-11.830,,,V5588 SGR,,STD,1,,,
2455654.95289,14.199,0.035,,B,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,2.009,Z,,14.032,,V5588 SGR,AAVSO,STD,,,,
2455654.95742,12.420,0.007,,V,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.985,Z,,13.189,,V5588 SGR,AAVSO,STD,,,,
2455654.95867,10.809,0.027,,R,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.978,Z,,12.693,,V5588 SGR,AAVSO,STD,,,,
2455654.95947,9.787,0.065,,I,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.972,Z,,12.098,,V5588 SGR,AAVSO,STD,,,,
2455654.979,12.47,0.01,,V,OCN,,123,132,4645bea,,0,,Z,12.291,13.185,,V5588 SGR,AAVSO,STD,,,,
2455654.981,10.96,0.01,,R,OCN,,123,132,4645bea,,0,,Z,11.910,12.678,,V5588 SGR,AAVSO,STD,,,,
2455656.66389,<10.3,,,Vis.,ACN,,103,,4602TA,,,,Z,,,,V5588 Sgr,REA,STD,,,,
2455656.92917,12.7,,,Vis.,CKB,,123,128,DR (2011),,,,Z,,,,V5588 SGR,AAVSO,STD,,,,
2455656.94678,13.984,0.025,,B,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,2.014,Z,,14.039,,V5588 SGR,AAVSO,STD,,,,
2455656.95130,12.274,0.009,,V,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.990,Z,,13.179,,V5588 SGR,AAVSO,STD,,,,
2455656.95253,10.664,0.027,,R,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.983,Z,,12.701,,V5588 SGR,AAVSO,STD,,,,
2455656.95332,9.730,0.058,,I,SXN,,ENSEMBLE,132,4645JS,AAVSONET K35,0,1.977,Z,,12.121,,V5588 SGR,AAVSO,STD,,,,
2455657.67053,12.016,0.016,,V,BZU,,GSC 6843-00118,,4645BS,COMP V=11.025  B-V=1.208  V-R=0.623 V-I=1.232,1,2.379,Z,-12.620,,,V5588 SGR,,STD,2,,,
2455657.67359,13.689,0.059,,B,BZU,,GSC 6843-00118,,4645BS,COMP V=11.025  B-V=1.208  V-R=0.623 V-I=1.232,1,2.364,Z,-10.830,,,V5588 SGR,,STD,2,,,
2455657.67691,9.509,0.010,,I,BZU,,GSC 6843-00118,,4645BS,COMP V=11.025  B-V=1.208  V-R=0.623 V-I=1.232,1,2.349,Z,-12.730,,,V5588 SGR,,STD,2,,,
