JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458153.486,7.9,,,Vis.,ACN,UK,755,810;850,X22592EQ,,,,Z,,,,NOVA MUS 2018,REA,STD,,,,
2458153.816,8.1,,,Vis.,PLA,,7.2,8.1,X22599IW,Maksutov 90mm,,,Z,,,,PNV J11261220-6531086,AAVSO,STD,,,,
2458153.855,8,,,Vis.,HSP,,77,81,X22599CZ,,,,Z,,,,NOVA MUS 2018,RASNZ-VSS,STD,,,,
2458153.957,8.44,0.023,,B,NLX,,100,113,X22685WF,Mag ave 3 measures,0,1.71,Z,10.006,12.1,,N MUS 2018,AAVSO,STD,,,,
2458153.958,8.11,0.01,,V,NLX,,100,113,X22685WF,Mag ave 3 measures,0,1.71,Z,10.006,11.4,,N MUS 2018,AAVSO,STD,,,,
2458154.121,8.2,,,Vis.,PEX,,81,86,X22549SY,,,,Z,,,,Nova Mus 2018,AAVSO,STD,,,,
2458154.493,7.9,,,Vis.,ACN,UWK,755,810,X22592EQ,,,,Z,,,,NOVA MUS 2018,REA,STD,,,,
2458154.855,7.9,,,Vis.,HSP,B,76,81,X22599CZ,,,,Z,,,,NOVA MUS 2018,RASNZ-VSS,STD,,,,
2458154.958,7.9,,,Vis.,WCG,,75,81,X22594BQ,7x50 B,,,Z,,,,PNV J11261220-6531086,AAVSO,STD,,,,
2458154.961,8,,,Vis.,WCG,,77,81,X22594BQ,7x50 B,,,Z,,,,PNV J11261220-6531086,AAVSO,STD,,,,
2458154.972,8.42,0.01,,B,NLX,,100,113,X22685WF,Mag med sum 3x10s,0,1.62,Z,10.496,12.09,,PNV J11261220-6531086,AAVSO,STD,,,,
2458154.973,8.1,0.02,,V,NLX,,100,113,X22685WF,Mag med sum 3x3s,0,1.61,Z,10,11.4,,PNV J11261220-6531086,AAVSO,STD,,,,
2458154.99,8.026,0.092,,V,BHQ,,ENSEMBLE,113,X22637IU,,1,1.684,Z,,11.226,,NOVA MUS 2018,VSS,STD,1,,,
2458154.992,8.409,0.094,,B,BHQ,,ENSEMBLE,113,X22637IU,,1,1.673,Z,,11.999,,NOVA MUS 2018,VSS,STD,1,,,
2458154.994,6.997,0.047,,R,BHQ,,ENSEMBLE,113,X22637IU,,0,1.66,Z,,10.694,,NOVA MUS 2018,VSS,STD,1,,,
2458154.995,6.596,0.054,,I,BHQ,,ENSEMBLE,113,X22637IU,,0,1.654,Z,,10.185,,NOVA MUS 2018,VSS,STD,1,,,
2458155.088,8.3,,,Vis.,PEX,,81,86,X22549SY,,,,Z,,,,Nova Mus 2018,AAVSO,STD,,,,
2458155.4,8.1,,,Vis.,WPT,,8.1,,X22599AWO,,,,Z,,,,NOVA MUS 2018,AAVSO,STD,,,,
2458155.486,8.1,,,Vis.,ACN,UWK,755,810,X22592EQ,,,,Z,,,,NOVA MUS 2018,REA,STD,,,,
2458155.554,8.4,,,Vis.,AAX,,83,86,X22594EI,,,,Z,,,,NOVA MUS 2018,NEOA-JBS,STD,,,,
2458155.849,8.1,,,Vis.,HSP,,81,,X22635BEC,,,,Z,,,,NOVA MUS 2018,RASNZ-VSS,STD,,,,
2458155.98,8.48,0.01,,B,NLX,,Ensemble,135,X22685WF,Mag ave 3 measures,0,1.56,Z,,13.86,,PNV J11261220-6531086,AAVSO,STD,,,,
2458155.981,8.14,0.01,,V,NLX,,Ensemble,134,X22685WF,Mag ave 3 measures,0,1.56,Z,,13.43,,PNV J11261220-6531086,AAVSO,STD,,,,
2458156.264,8.2,,,Vis.,PEX,B,81,86,X22549SY,,,,Z,,,,Nova Mus 2018,AAVSO,STD,,,,
2458156.483,8.1,,,Vis.,ACN,K,810,755;850,X22592EQ,,,,Z,,,,NOVA MUS 2018,REA,STD,,,,
