JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458142.09271,7.760,0.058,,TR,BDJB,,ENSEMBLE,000-BKS-959,X22625BIS,CANON 1100D; 100MM; ISO 100; F2.0; 15 SEC X 20 IMAGES,0,,Z,,-11.188,,PNV J13532700-6725110,ASSAU,STD,,,,
2458142.145498,7.79,0.01,,V,UMAA,,000-BMN-679,000-BMN-677,X22649TH,,0,1.608,Z,13.49,12.56,,PNV J13532700-6725110,,STD,,,,
2458142.146285,7.89,0.01,,V,UMAA,,000-BMN-679,000-BMN-677,X22649TH,,0,1.604,Z,13.47,12.54,,PNV J13532700-6725110,,STD,,,,
2458142.24806,8.001,0.005,,B,PEX,,ENSEMBLE,118,X22644BHM,,0,1.298,Z,,12.234,,PNV J13532700-6725110,AAVSO,STD,,,,
2458142.24882,7.797,0.003,,V,PEX,,ENSEMBLE,118,X22644BHM,,0,1.297,Z,,11.840,,PNV J13532700-6725110,AAVSO,STD,,,,
2458142.2549,8.2,,,Vis.,PEX,,78,85,X22626CC,,,,Z,,,,PNV J13532700-6725110,AAVSO,STD,,,,
2458142.52083,7.8,,,Vis.,ACN,B,755,"""775, 710""",X22625BGQ,out of focus,,,Z,,,,PNV J13532700-6725110,REA,STD,,,,
2458143.10764,7.7,,,Vis.,HSP,,74,78,X22635NJ,,,,Z,,,,NOVA CIR 2018,RASNZ-VSS,STD,,,,
2458143.3007,7.8,,,Vis.,PEX,,78,,X22626CC,,,,Z,,,,PNV J13532700-6725110,AAVSO,STD,,,,
2458143.75694,7.2,,,Vis.,SWQ,,71,74,#X226626CC,15x70 binoculars,,,Z,,,,PNV J13532700-6725110,REA,STD,,,,
