JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456067.81119,11.948,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.05,Z,11.425,13.497,,PNV J17260708-2551454,VVS,STD,,,,
2456067.81163,10.079,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.06,Z,10.104,11.936,,PNV J17260708-2551454,VVS,STD,,,,
2456067.81480,11.934,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.06,Z,11.425,13.503,,PNV J17260708-2551454,VVS,STD,,,,
2456067.81525,10.081,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.06,Z,10.104,11.903,,PNV J17260708-2551454,VVS,STD,,,,
2456067.81841,11.933,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.07,Z,11.425,13.503,,PNV J17260708-2551454,VVS,STD,,,,
2456067.81885,10.077,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.07,Z,10.104,11.931,,PNV J17260708-2551454,VVS,STD,,,,
2456067.82203,11.942,0.006,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.08,Z,11.425,13.537,,PNV J17260708-2551454,VVS,STD,,,,
2456067.82248,10.077,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.08,Z,10.104,11.926,,PNV J17260708-2551454,VVS,STD,,,,
2456067.82329,12.720,0.007,,B,HQA,,ENSEMBLE,,,K35,1,1.000,Z,,,,PNV J17260708-2551454,,STD,27,,,
2456067.82329,10.886,0.006,,R,HQA,,ENSEMBLE,,,,1,1.000,Z,,,,PNV J17260708-2551454,,STD,27,,,
2456067.82329,11.830,0.003,,V,HQA,,ENSEMBLE,,,K35,1,1.000,Z,,,,PNV J17260708-2551454,,STD,27,,,
2456067.82564,11.931,0.006,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.09,Z,11.425,13.516,,PNV J17260708-2551454,VVS,STD,,,,
2456067.82608,10.085,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.09,Z,10.104,11.938,,PNV J17260708-2551454,VVS,STD,,,,
2456067.82925,11.929,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.10,Z,11.425,13.514,,PNV J17260708-2551454,VVS,STD,,,,
2456067.82969,10.063,0.007,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.10,Z,10.104,11.904,,PNV J17260708-2551454,VVS,STD,,,,
2456067.83286,11.922,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.11,Z,11.425,13.524,,PNV J17260708-2551454,VVS,STD,,,,
2456067.83331,10.056,0.006,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.11,Z,10.104,11.949,,PNV J17260708-2551454,VVS,STD,,,,
2456067.83648,11.908,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.12,Z,11.425,13.529,,PNV J17260708-2551454,VVS,STD,,,,
2456067.83693,10.053,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.12,Z,10.104,11.899,,PNV J17260708-2551454,VVS,STD,,,,
2456067.84010,11.906,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.13,Z,11.425,13.543,,PNV J17260708-2551454,VVS,STD,,,,
2456067.84054,10.057,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.13,Z,10.104,11.943,,PNV J17260708-2551454,VVS,STD,,,,
2456067.84372,11.923,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.14,Z,11.425,13.523,,PNV J17260708-2551454,VVS,STD,,,,
2456067.84416,10.060,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.15,Z,10.104,11.894,,PNV J17260708-2551454,VVS,STD,,,,
2456067.84734,11.897,0.006,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.16,Z,11.425,13.528,,PNV J17260708-2551454,VVS,STD,,,,
2456067.84778,10.059,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.16,Z,10.104,11.917,,PNV J17260708-2551454,VVS,STD,,,,
2456067.85098,11.896,0.006,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.17,Z,11.425,13.497,,PNV J17260708-2551454,VVS,STD,,,,
2456067.85142,10.051,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.17,Z,10.104,11.901,,PNV J17260708-2551454,VVS,STD,,,,
2456067.85465,11.909,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.19,Z,11.425,13.532,,PNV J17260708-2551454,VVS,STD,,,,
2456067.85509,10.049,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.19,Z,10.104,11.916,,PNV J17260708-2551454,VVS,STD,,,,
2456067.85832,11.905,0.006,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.20,Z,11.425,13.502,,PNV J17260708-2551454,VVS,STD,,,,
2456067.85877,10.066,0.007,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.20,Z,10.104,11.941,,PNV J17260708-2551454,VVS,STD,,,,
2456067.86201,11.904,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.22,Z,11.425,13.539,,PNV J17260708-2551454,VVS,STD,,,,
2456067.86245,10.058,0.007,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.22,Z,10.104,11.934,,PNV J17260708-2551454,VVS,STD,,,,
2456067.86568,11.903,0.006,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.24,Z,11.425,13.494,,PNV J17260708-2551454,VVS,STD,,,,
2456067.86613,10.066,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.24,Z,10.104,11.897,,PNV J17260708-2551454,VVS,STD,,,,
2456067.86936,11.899,0.006,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.26,Z,11.425,13.525,,PNV J17260708-2551454,VVS,STD,,,,
