JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457094.87500,<4.7,,,CV,BISA,,SAO 186328,,K,"""all-sky photometry, MOON!!!!, STARRY SKY, limit=+4.7m""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457096.84375,6.0,0.2,,CV,BISA,,SAO 186838,,K,"""NOVA - OK!, all-sky photometry, MOON!!!!, STARRY SKY, limit=+6.2m""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457097.23611,6.4,0.2,,CV,BISA,,SAO 187024,,K,"""all-sky photometry, MOON!!!!, STARRY SKY, limit= 6.6m""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457097.81319,5.8,,,Vis.,AAX,,53,59,14547VR,,,,Z,,,,PNV J18365700-2855420,REA,STD,,,,
2457097.83472,5.9,0.12,,CV,BISA,,SAO 210116,SAO 187024,K,"""all-sky photometry, MOON!!!!, STARRY SKY, limit= 6.7m""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457097.83681,5.9,,,Vis.,CLUB,BU,59,,14547VR,Moon.,,,Z,,,,PNV J18365700-2855420,NEOA-JBS,STD,,,,
2457097.86042,6.1,,,Vis.,CLUB,B,59,62,14547VR,Moon.,,,Z,,,,PNV J18365700-2855420,NEOA-JBS,STD,,,,
2457097.86111,6.0,0.3,,CV,SIV,K,5.43,,StarCalc,all sky camera San-Pedro ,,,Z,,,,PNV J18365700-2855420,,STD,,,,
2457098.24861,6.0,,,Vis.,PEX,U,59,69,14547BCM,,,,Z,,,,PNV J18365700-2855420,VSS,STD,,,,
2457098.27083,6.0,,,Vis.,CMQ,,59,64,14563UG,,,,Z,,,,PNV J18365700-2855420,,STD,,,,
2457098.27431,5.6,0.12,,CV,BISA,,SAO 210116,SAO 187024,K,"""all-sky photometry, MOON!!!!, ZIRRUS !!!, STARRY SKY, limit= 6.8m""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457098.2946,6.06,0.04,,V,OCN,,91,102,14583BJX,iT31 ,0,1.11,Z,9.088,10.216,,PNV J18365700-2855420,AAVSO,STD,,,,
2457098.2968,5.76,0.03,,R,OCN,,111,113,14583BJX,iT31,0,1.10,Z,10.599,10.850,,PNV J18365700-2855420,AAVSO,STD,,,,
2457098.53028,6.068,0.028,,TG,DSSA,,000-BCC-337,000-BCC-775,14593CA,,0,1.541,Z,6.833,6.309,,V5668 Sgr,AAVSO,STD,,,,
2457098.62708,5.8,,,Vis.,MVH,,5.9,5.6,14563cv,,,,Z,,,,PNV J18365700-2855420,AAVSO,STD,,,,
2457098.64,6.1,,,Vis.,BFO,,000,,999999,,,,Z,,,,NOVA SGR 2015 NO. 2,MCSE,STD,,,,
2457098.6944,5.72,,,Vis.,DXAA,BL,56,59,14552SU,P7X50 MOON AGE 26 DAYS,,,Z,,,,PNV J18365700-2855420,AASABADELL,STD,,,,
2457098.79722,5.9,,,Vis.,CLUB,B,59,62,14547VR,Moon.,,,Z,,,,PNV J18365700-2855420,NEOA-JBS,STD,,,,
2457098.84028,6.1,,,Vis.,AAX,,59,62,14547VR,,,,Z,,,,PNV J18365700-2855420,REA,STD,,,,
2457098.85069,6.35,0.1,,CV,BISA,,SAO 210116,SAO 187024,K,"""all-sky photometry, MOON, STARRY SKY, limit= 6.5m""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457098.86132,5.3,,,TG,TYS,S,68,,1454BN,LIMITED FOV,,,Z,,,,PNV J18365700-2855420,AAVSO,STD,,,,
2457098.87500,6.0,,,Vis.,BMF,,56,59,14573A0,,,,Z,,,,Nova Sgr 2015 No. 2,RASC,STD,,,,
2457098.87847,6.3,0.1,,CV,BISA,,SAO 210116,SAO 187024,K,"""all-sky photometry, MOON!, ZIRRUS!!!, STARRY SKY, limit= 6.6m""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457098.88542,5.85,0.3,,CV,SIV,K,5.34,,StarCalc,all sky San Pedro,,,Z,,,,PNV J18365700-2855420,,STD,,,,
2457098.92361,6.0,,,Vis.,CNY,U,64,59,14564FJ,binoculars,,,Z,,,,PNV J18365700-2855420,,STD,,,,
2457098.92917,5.8,,,Vis.,DKS,,56,59,14651AIS,,,,Z,,,,Nova Sgr 2015 No. 2,AAVSO,STD,,,,
2457098.97986,5.8,,,Vis.,MCPA,B,59,56,14552ALY,,,,Z,,,,PNV J18365700-2855420,AAVSO,STD,,,,
2457099.201453,6.157,0.084,,V,HKEB,,ENSEMBLE,000-BLP-690,14585DP,512,1,1.984,Z,,8.875,,PNV J18365700-2855420,AAVSO,STD,,,,
2457099.23611,5.77,0.1,,CV,BISA,,SAO 210116,SAO 187024,K,"""all-sky photometry, limit= 6.9m""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457099.31597,5.73,0.07,,CV,BISA,,SAO 210116,SAO 187024,K,"""all-sky photometry, MOON, limit= 6.6m""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457099.62847,5.7,,,Vis.,MVH,,5.6,5.9,14563CV,,,,Z,,,,PNV J18365700-2855420,AAVSO,STD,,,,
2457099.63,5.9,,,Vis.,BFO,,000,,999999,,,,Z,,,,NOVA SGR 2015 NO. 2,MCSE,STD,,,,
2457099.63542,5.4,,,Vis.,GPIA,WL,46,64,14573ADT,"""10x50 binoculars, faintly seen with naked eye """,,,Z,,,,PNV J18365700-2855420,AAVSO,STD,,,,
2457099.66,5.7,,,Vis.,FRF,L,56,59,14552TZ,,,,Z,,,,PNV J18365700-2855420,MCSE,STD,,,,
2457099.665,5.4,,,Vis.,VOL,,47,56,14552BAD,,,,Z,,,,PNV J18365700-2855420,AAVSO,STD,,,,
2457099.668,5.45,0.17,,V,VOL,,56,55,14552BAD,,1,,Z,5.58,5.39,,PNV J18365700-2855420,AAVSO,STD,,,,
2457099.68056,5.4,,,Vis.,DMIB,LKS,5.6,5.4,COELIX,"""refractor 80/400 EP 40mm and binoculars 10x50, Good view but no close comparison stars. """,,,Z,,,,NOVA SGR 2015 NO. 2,AAVSO,STD,,,,
2457099.74306,5.8,,,Vis.,GGHA,B,59,56,14575CF,,,,Z,,,,PNV J18365700-2855420,AAVSO,STD,,,,
2457099.81667,5.82,0.07,,CV,BISA,,SAO 210116,SAO 187024,K,"""all-sky photometry, limit= 6.4m""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457099.81806,5.8,,,Vis.,AAX,,53,59,14547VR,,,,Z,,,,PNV J18365700-2855420,REA,STD,,,,
2457099.86944,5.6,,,Vis.,TDB,,54,58,14573WQ,,,,Z,,,,PNV J18365700-2855420,RASC,STD,,,,
2457099.89444,5.68,0.07,,CV,BISA,,SAO 210116,SAO 187024,K,"""all-sky photometry, limit= 6.3m""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457099.8979,5.7,,,Vis.,KMA,,56,59,K,,,,Z,,,,PNV J18365700-2855420,AAVSO,STD,,,,
2457099.89861,5.35,,,Vis.,MDP,L,56,50,14552BCS,,,,Z,,,,PNV J18365700-2855420,RASC,STD,,,,
2457099.91736,5.7,,,Vis.,SLH,,56,59,14559 av,,,,Z,,,,PNV J18365700-2855420,AAVSO,STD,,,,
2457100.200723,5.667,0.110,,V,HKEB,,ENSEMBLE,000-BLP-690,14585DP,512,1,1.950,Z,,8.855,,PNV J18365700-2855420,AAVSO,STD,,,,
2457100.21944,5.63,0.07,,CV,BISA,,SAO 210116,SAO 187024,K,"""all-sky photometry, limit= 6.9m, STARRY SKY""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457100.2507,5.34,0.05,,V,OCN,,102,113,14583BJX,iT27B,0,1.26,Z,10.216,11.276,,PNV J18365700-2855420,AAVSO,STD,,,,
2457100.2516,5.06,0.06,,R,OCN,,102,113,14583BJX,iT27B,0,1.26,Z,9.555,10.850,,PNV J18365700-2855420,AAVSO,STD,,,,
2457100.2533,4.84,0.02,,I,OCN,,102,113,14583BJX,iT27B,0,1.25,Z,8.940,10.451,,PNV J18365700-2855420,AAVSO,STD,,,,
2457100.26042,5.5,,,Vis.,CMQ,,50,59,14573XN,,,,Z,,,,PNV J18365700-2855420,,STD,,,,
2457100.26597,5.5,,,Vis.,PEX,,53,56,14547BCM,,,,Z,,,,PNV J18365700-2855420,VSS,STD,,,,
2457100.27083,5.55,0.07,,CV,BISA,,SAO 210116,SAO 187024,K,"""all-sky photometry, limit= 6.9m, STARRY SKY""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457100.52264,5.315,0.037,,TG,DSSA,,000-BLP-685,000-BCC-337,14593CA,,0,1.546,Z,6.764,6.793,,PNV J18365700-2855420,AAVSO,STD,,,,
2457100.65625,5.0,,,Vis.,KSZ,,3.2,5.6,14558AQ,20X80 B,,,Z,,,,NOVA SGR 2015 NO. 2,MCSE,STD,,,,
2457100.66,5.5,,,Vis.,FRF,L,47,59,14552TZ,,,,Z,,,,PNV J18365700-2855420,MCSE,STD,,,,
2457100.66,5.0,,,Vis.,KSZ,,000,,999999,000-BLP-536,,,Z,,,,NOVA SGR 2015 NO. 2,MCSE,STD,,,,
2457100.67708,5.3,,,Vis.,SDAD,W,53,,14583AGA,Seeing sometimes good,,,Z,,,,PNV J18365700-2855420,,STD,,,,
2457100.68056,5.15,,,Vis.,DMIB,U,4.7,5.3,14573AO,With binoculars 10x50 make 3 estimation with different comp stars 5.5(worst) &amp; 5.1 &amp; 5.2 ,,,Z,,,,NOVA SGR 2015 NO. 2,AAVSO,STD,,,,
2457100.72500,5.0,,,Vis.,TYS,LS,56,,1454BJ,,,,Z,,,,PNV J18365700-2855420,AAVSO,STD,,,,
2457100.7969,5.13,0.56,,CV,PAI,,41,,14651ARF,W,0,,Z,4.11,,,NOVA SGR 2015 NO. 2,AAVSO,STD,,,,
2457100.80556,5.42,0.07,,CV,BISA,,SAO 210257,SAO210116,K,"""all-sky photometry, limit= 6.3m, ZIRRUS""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457100.80972,5.5,,,Vis.,AAX,,53,59,14547VR,naked eye,,,Z,,,,PNV J18365700-2855420,REA,STD,,,,
2457100.81250,5.83,0.3,,CV,SIV,K,5.34,,StarCalc,all sky camera San-Pedro,,,Z,,,,PNV J18365700-2855420,,STD,,,,
2457100.88819,5.3,,,Vis.,MDP,L,50,54,14552BCS,,,,Z,,,,PNV J18365700-2855420,RASC,STD,,,,
2457100.9125,5.2,,,Vis.,MOW,,46,55,14574Q,,,,Z,,,,Nova Sgr 2015 No. 2,AAVSO,STD,,,,
2457101.02778,5.10,,,Vis.,ASA,,33,53,14573AIZ,"""Binos 7x50, From City """,,,Z,,,,PNV J18365700-2855420,AAVSO,STD,,,,
2457101.03681,5.2,,,Vis.,SQN,,50,54,14552BCS,"""10x50 binocs, A scale""",,,Z,,,,PNV J18365700-2855420,AAVSO,STD,,,,
2457101.24444,5.36,0.05,,CV,BISA,,SAO 210257,SAO 210116,K,"""all-sky photometry, limit= 6.9m, STARRY SKY!!""",,,Z,,,,PNV J18365700-2855420,AVSOPLEIONE,STD,,,,
2457101.2525,5.11,0.08,,V,OCN,,102,91,14583FZ,iT31,0,1.24,Z,10.216,9.088,,PNV J18365700-2855420,AAVSO,STD,,,,
2457101.2538,4.92,0.01,,R,OCN,,102,111,14583FZ,iT31,0,1.23,Z,9.555,10.599,,PNV J18365700-2855420,AAVSO,STD,,,,
