JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456023.2403,<10.4,,,Vis.,BWZ,K,NA,,NA,V<104,,,Z,,,,PNV J17452791-2305213,,STD,,,,
2456035.49000,<15.0,0.1,,CV,KSO,K,ensemble,,7211AA,,0,,Z,,,,PNV J17452791-2305213,AAVSO,STD,,,,
2456038.34000,10.2,,,CV,KSO,K,ensemble,,7211AA,pre-discovery R. J. Gao ,0,,Z,,,,PNV J17452791-2305213,AAVSO,STD,,,,
2456038.51100,9.6,0.1,,CV,KSO,K,ensemble,,7211AA,discovery; comp stars from Tycho-2,0,,Z,,,,PNV J17452791-2305213,AAVSO,STD,,,,
2456039.15400,8.8,,,CV,KSO,K,ensemble,,7211AA,John Seach,0,,Z,,,,PNV J17452791-2305213,AAVSO,STD,,,,
2456039.56319,9.1,,,Vis.,AAX,,87,93,7203T,,,,Z,,,,PNV J17452791-2305213,REA,STD,,,,
2456039.57986,9.3,,,Vis.,KSZ,,8.7,9.7,7217CWT,,,,Z,,,,PNV J17452791-2305213,MCSE,STD,,,,
2456039.58,9.3,,,Vis.,KSZ,,000,,999999,NOVA SGR 2012,,,Z,,,,PNV J17452791-2305213,MCSE,STD,,,,
2456039.91389,9.4,,,Vis.,ASA,,87,93,7198GJ,,,,Z,,,,PNV J17452791-2305213,AAVSO,STD,,,,
2456040.09154,9.81,0.05,,V,JSP,,ENSEMBLE,,7217CCE,,0,,Z,,,,PNV J17452791-2305213,AAVSO,STD,,,,
2456040.29514,9.6,,,Vis.,QYIA,,93,97,7214HW,,,,Z,,,,PNV J17452791-2305213,,STD,,,,
2456040.47870,9.7,0.1,,CV,KSO,K,ensemble,,7211AA,comp stars from Tycho-2,0,,Z,,,,PNV J17452791-2305213,AAVSO,STD,,,,
2456040.55,9.6,,,Vis.,KSZ,,000,,999999,NOVA SGR 2012,,,Z,,,,PNV J17452791-2305213,MCSE,STD,,,,
