JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458137.248,10.74,0.042,,V,FRF,,NA,ENSEMBLE,X22611AF,,0,,Z,,,,PNV J17180658-3204279,MCSE,STD,1,,,
2458137.2589,12.33,0.08,,B,OCN,,000-BMN-632,000-BMN-634,X22625IE,iT17,0,2.44,Z,12.781,13.215,,PNV J17180658-3204279,AAVSO,STD,,,,
2458137.2603,10.69,0.02,,V,OCN,,000-BMN-632,000-BMN-634,X22625IE,iT17,0,2.40,Z,11.756,12.337,,PNV J17180658-3204279,AAVSO,STD,,,,
2458137.2615,9.01,0.05,,I,OCN,,000-BMN-632,000-BMN-635,X22625IE,iT17,0,2.37,Z,10.664,11.720,,PNV J17180658-3204279,AAVSO,STD,,,,
2458137.33750,10.9,,,Vis.,PEX,,108,113,X22610ANX,,,,Z,,,,PNV J17180658-3204279,AAVSO,STD,,,,
2458137.88615,11.117,0.019,,V,HMB,,000-BMN-632,000-BMN-634,X22625AUH,STANDARD MAG: C = 11.756  K = 12.337,0,2.12,Z,18.708,19.320,,PNV J17180658-3204279,VVS,STD,,,,
2458137.88672,11.082,0.021,,V,HMB,,000-BMN-632,000-BMN-634,X22625AUH,STANDARD MAG: C = 11.756  K = 12.337,0,2.10,Z,18.733,19.328,,PNV J17180658-3204279,VVS,STD,,,,
2458137.88723,9.100,0.030,,I,HMB,,000-BMN-632,000-BMN-634,X22625AUH,STANDARD MAG: C = 10.664  K = 11.343,0,2.09,Z,19.327,19.965,,PNV J17180658-3204279,VVS,STD,,,,
2458137.88762,9.129,0.029,,I,HMB,,000-BMN-632,000-BMN-634,X22625AUH,STANDARD MAG: C = 10.664  K = 11.343,0,2.09,Z,19.261,19.952,,PNV J17180658-3204279,VVS,STD,,,,
2458137.88828,12.657,0.072,,B,HMB,,000-BMN-632,000-BMN-634,X22625AUH,STANDARD MAG: C = 12.781  K = 13.215,0,2.07,Z,19.695,20.131,,PNV J17180658-3204279,VVS,STD,,,,
2458137.88902,12.652,0.078,,B,HMB,,000-BMN-632,000-BMN-634,X22625AUH,STANDARD MAG: C = 12.781  K = 13.215,0,2.06,Z,19.715,20.177,,PNV J17180658-3204279,VVS,STD,,,,
2458138.25188,11.054,0.003,,V,PEX,,ENSEMBLE,118,X22625BBY,,0,2.563,Z,,11.706,,PNV J17180658-3204279,AAVSO,STD,,,,
2458138.25330,10.103,0.008,,R,PEX,,ENSEMBLE,118,X22625BBY,,0,2.522,Z,,11.183,,PNV J17180658-3204279,AAVSO,STD,,,,
2458138.25530,12.683,0.005,,B,PEX,,ENSEMBLE,118,X22625BBY,,0,2.476,Z,,12.763,,PNV J17180658-3204279,AAVSO,STD,,,,
2458138.2559,11.10,0.02,,V,OCN,,000-BMN-632,000-BMN-634,X22625IE,iT31,0,"2,45",Z,11.756,12.337,,PNV J17180658-3204279,AAVSO,STD,,,,
2458138.3368,11.4,,,Vis.,PEX,,110,118,X22625DL,,,,Z,,,,PNV J17180658-3204279,AAVSO,STD,,,,
2458138.98958,<9.6,,,Vis.,SLH,BUWL,96,,x22625acc,,,,Z,,,,PNV J17180658-3204279,AAVSO,STD,,,,
2458139.3306,11.4,,,Vis.,PEX,,110,118,X22625DL,,,,Z,,,,PNV J17180658-3204279,AAVSO,STD,,,,
2458140.3465,11.6,,,Vis.,PEX,,110,118,X22625DL,,,,Z,,,,PNV J17180658-3204279,AAVSO,STD,,,,
2458141.3361,11.7,,,Vis.,PEX,,110,118,X22625DL,,,,Z,,,,PNV J17180658-3204279,AAVSO,STD,,,,
2458143.3340,12.0,,,Vis.,PEX,,118,123,X22625DL,,,,Z,,,,PNV J17180658-3204279,AAVSO,STD,,,,
2458144.3264,12.2,,,Vis.,PEX,,118,123,X22625DL,,,,Z,,,,PNV J17180658-3204279,AAVSO,STD,,,,
2458145.3389,12.3,,,Vis.,PEX,,123,,X22625DL,,,,Z,,,,PNV J17180658-3204279,AAVSO,STD,,,,
2458147.2489,12.59,0.02,,V,OCN,,000-BMN-632,000-BMN-638,X22625IE,iT31.,0,2.06,Z,11.756,13.568,,PNV J17180658-3204279,AAVSO,STD,,,,
2458147.3451,12.5,,,Vis.,PEX,,125,,X22625DL,,,,Z,,,,PNV J17180658-3204279,AAVSO,STD,,,,
2458151.86944,13.0,,,Vis.,TYS,,128,134,X22671AKR,"""VISUAL FROM SLOOH DIGITAL IMAGE, TRI-G.""",,,Z,,,,N Sco 2018,AAVSO,STD,,,,
2458152.25307,13.731,0.026,,B,PEX,,ENSEMBLE,118,X22679NC,,0,1.780,Z,,12.664,,N SCO 2018,AAVSO,STD,,,,
2458152.25701,13.024,0.017,,V,PEX,,ENSEMBLE,118,X22679NC,,0,1.730,Z,,11.902,,N SCO 2018,AAVSO,STD,,,,
2458152.26066,11.636,0.006,,R,PEX,,ENSEMBLE,118,X22679NC,,0,1.686,Z,,11.298,,N SCO 2018,AAVSO,STD,,,,
2458153.86250,13.2,,,Vis.,TYS,,128,134,X22671AKR,"""VISUAL FROM SLOOH DIGITAL IMAGE, TRI-G.""",,,Z,,,,NOVA SCO 2018,AAVSO,STD,,,,
2458154.24528,14.12,0.022,,B,NLX,,Ensemble,142,X22685SO,Mag ave 3 measures,0,1.81,Z,,14.87,,N SCO 2018,AAVSO,STD,,,,
2458154.24861,13.24,0.01,,V,NLX,,Ensemble,142,X22685SO,Mag ave 3 measures,0,1.77,Z,,14.20,,N SCO 2018,AAVSO,STD,,,,
