JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456067.49,10.6,,,Vis.,BFO,,000,,999999,000-BKM-231,,,Z,,,,PNV J17395600-2447420,MCSE,STD,,,,
2456068.1507,10.6,,,Vis.,SRX,,106,,N/A,,,,Z,,,,PNV J17395600-2447420,RASNZ-VSS,STD,,,,
2456068.63264,10.9,,,Vis.,AAX,K,107,113,1917oa,""" 	TYC, star ploted on previous chart """,,,Z,,,,PNV J17395600-2447420,REA,STD,,,,
2456068.83957,10.98,0.01,,V,DKS,,000-BKM-370,000-BKM-371,7582ADZ,ERROR: V-C STATISTICAL+V POISSON IN QUAD;,0,1.028,Z,12.869,12.880,,PNV J17395600-2447420,,STD,,,,
2456068.90276,10.022,0.10,,R,HCW,,ENSEMBLE,,CMC-14,,0,2.239,Z,,,2456068.90806,PNV J17395600-2447420,,STD,,,,
2456068.90620,11.177,0.007,,V,HCW,,ENSEMBLE,135,7546PL,,0,2.238,Z,,13.550,,PNV J17395600-2447420,,STD,,,,
2456068.90712,12.607,0.180,,B,HCW,,ENSEMBLE,135,7546PL,,0,2.238,Z,,14.424,,PNV J17395600-2447420,,STD,,,,
2456069.00797,11.186,0.013,,V,BHQ,,ENSEMBLE,000-BKM-373,7562MM,,0,1.417,Z,,13.523,,PNV J17395600-2447420,VSS,STD,,,,
2456069.00853,11.178,0.013,,V,BHQ,,ENSEMBLE,000-BKM-373,7562MM,,0,1.413,Z,,13.486,,PNV J17395600-2447420,VSS,STD,,,,
2456069.00898,11.191,0.013,,V,BHQ,,ENSEMBLE,000-BKM-373,7562MM,,0,1.409,Z,,13.514,,PNV J17395600-2447420,VSS,STD,,,,
2456069.01341,12.558,0.023,,B,BHQ,,ENSEMBLE,000-BKM-373,7562MM,,0,1.377,Z,,14.484,,PNV J17395600-2447420,VSS,STD,,,,
2456069.01417,12.554,0.024,,B,BHQ,,ENSEMBLE,000-BKM-373,7562MM,,0,1.372,Z,,14.440,,PNV J17395600-2447420,VSS,STD,,,,
2456069.01494,12.559,0.024,,B,BHQ,,ENSEMBLE,000-BKM-373,7562MM,,0,1.366,Z,,14.426,,PNV J17395600-2447420,VSS,STD,,,,
2456069.0646,12.68,0.02,,B,DSI,,NA,,,,1,,Z,,,,PNV J17395600-2447420,AAVSO,STD,,,,
2456069.0646,11.15,0.01,,V,DSI,,NA,,,,1,,Z,,,,PNV J17395600-2447420,AAVSO,STD,,,,
2456069.0646,9.76,0.02,,R,DSI,,NA,,,,1,,Z,,,,PNV J17395600-2447420,AAVSO,STD,,,,
2456069.0646,8.50,0.04,,I,DSI,,NA,,,,1,,Z,,,,PNV J17395600-2447420,AAVSO,STD,,,,
2456069.111,10.8,,,Vis.,BNK,SZ,101,111,7528Z,,,,Z,,,,V2677 OPH,AAVSO,STD,,,,
2456069.2958,11.5,,,Vis.,PEX,B,110,,NA,,,,Z,,,,PNV J17395600-2447420,RASNZ-VSS,STD,,,,
2456069.4958,11.1,,,Vis.,AAX,K,110,114,7536AET,TYC,,,Z,,,,PNV J17395600-2447420,REA,STD,,,,
2456069.71987,11.634,0.007,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.03,Z,9.808,10.266,,PNV J17395600-2447420,VVS,STD,,,,
2456069.72013,9.240,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.03,Z,9.573,9.778,,PNV J17395600-2447420,VVS,STD,,,,
2456069.72372,11.665,0.006,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.02,Z,9.808,10.256,,PNV J17395600-2447420,VVS,STD,,,,
2456069.72399,9.252,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.02,Z,9.573,9.773,,PNV J17395600-2447420,VVS,STD,,,,
2456069.72758,11.656,0.006,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.02,Z,9.808,10.254,,PNV J17395600-2447420,VVS,STD,,,,
2456069.72784,9.259,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.02,Z,9.573,9.793,,PNV J17395600-2447420,VVS,STD,,,,
2456069.73143,11.653,0.006,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.01,Z,9.808,10.250,,PNV J17395600-2447420,VVS,STD,,,,
2456069.73170,9.256,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.01,Z,9.573,9.780,,PNV J17395600-2447420,VVS,STD,,,,
2456069.73528,11.655,0.006,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.01,Z,9.808,10.250,,PNV J17395600-2447420,VVS,STD,,,,
2456069.73556,9.240,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.01,Z,9.573,9.763,,PNV J17395600-2447420,VVS,STD,,,,
2456069.73915,11.660,0.007,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.01,Z,9.808,10.248,,PNV J17395600-2447420,VVS,STD,,,,
2456069.73942,9.241,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.01,Z,9.573,9.758,,PNV J17395600-2447420,VVS,STD,,,,
2456069.74343,11.645,0.007,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.808,10.246,,PNV J17395600-2447420,VVS,STD,,,,
2456069.74370,9.259,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.573,9.768,,PNV J17395600-2447420,VVS,STD,,,,
2456069.74786,11.657,0.007,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.808,10.275,,PNV J17395600-2447420,VVS,STD,,,,
2456069.74813,9.229,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.573,9.786,,PNV J17395600-2447420,VVS,STD,,,,
2456069.75317,11.651,0.007,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.808,10.291,,PNV J17395600-2447420,VVS,STD,,,,
2456069.75343,9.220,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.573,9.787,,PNV J17395600-2447420,VVS,STD,,,,
2456069.75796,11.654,0.007,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.808,10.292,,PNV J17395600-2447420,VVS,STD,,,,
2456069.75822,9.219,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.573,9.785,,PNV J17395600-2447420,VVS,STD,,,,
2456069.76231,11.662,0.006,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.808,10.296,,PNV J17395600-2447420,VVS,STD,,,,
2456069.76258,9.234,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.573,9.789,,PNV J17395600-2447420,VVS,STD,,,,
2456069.76659,11.658,0.006,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.808,10.293,,PNV J17395600-2447420,VVS,STD,,,,
2456069.76686,9.250,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.573,9.816,,PNV J17395600-2447420,VVS,STD,,,,
2456069.77087,11.659,0.006,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.808,10.294,,PNV J17395600-2447420,VVS,STD,,,,
2456069.77114,9.227,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.573,9.784,,PNV J17395600-2447420,VVS,STD,,,,
2456069.77516,11.662,0.006,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.808,10.300,,PNV J17395600-2447420,VVS,STD,,,,
2456069.77542,9.237,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.00,Z,9.573,9.796,,PNV J17395600-2447420,VVS,STD,,,,
2456069.77945,11.656,0.006,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.01,Z,9.808,10.290,,PNV J17395600-2447420,VVS,STD,,,,
2456069.77972,9.226,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.01,Z,9.573,9.804,,PNV J17395600-2447420,VVS,STD,,,,
2456069.78372,11.652,0.007,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.01,Z,9.808,10.294,,PNV J17395600-2447420,VVS,STD,,,,
2456069.78400,9.226,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.01,Z,9.573,9.802,,PNV J17395600-2447420,VVS,STD,,,,
2456069.78800,11.642,0.006,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.01,Z,9.808,10.286,,PNV J17395600-2447420,VVS,STD,,,,
2456069.78828,9.217,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.01,Z,9.573,9.784,,PNV J17395600-2447420,VVS,STD,,,,
2456069.79227,11.645,0.006,,V,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.02,Z,9.808,10.291,,PNV J17395600-2447420,VVS,STD,,,,
2456069.79255,9.207,0.005,,I,HMB,,000-BKM-255,000-BKM-256,7545EMD,,0,1.02,Z,9.573,9.784,,PNV J17395600-2447420,VVS,STD,,,,
