JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456744.15278,11.6,,,TG,KBJ,,114,117,13312ADQ,,,,Z,,,,TCP J17154683-3128303,,STD,,,,
2456744.25833,11.5,,,Vis.,PEX,,110,,13311DBX,,,,Z,,,,TCP J17154683-3128303,RASNZ-VSS,STD,,,,
2456744.8083,11.7,,,Vis.,AAX,K,117,122,13311AOI,TYC,,,Z,,,,TCP J17154683-3128303,REA,STD,,,,
2456744.974,11.94,0.05,,V,OCN,,117,127,13312BIU," 	iTel21 ",0,,Z,11.706,12.689,,TCP J17154683-3128303,AAVSO,STD,,,,
2456744.975,10.65,0.02,,R,OCN,,109,117,13312BIU," 	iTel21 ",0,,Z,10.442,11.163,,TCP J17154683-3128303,AAVSO,STD,,,,
2456744.976,9.83,0.06,,I,OCN,,109,117,13312BIU," 	iTel21 ",0,,Z,10.027,10.657,,TCP J17154683-3128303,AAVSO,STD,,,,
2456745.229,11.5,,,Vis.,BNK,,110,,13311CXT,,,,Z,,,,V1534 SCO,AAVSO,STD,,,,
2456745.972,12.10,0.05,,V,OCN,,117,127,13312BIU," 	iTel21 ",0,,Z,11.706,12.689,,TCP J17154683-3128303,AAVSO,STD,,,,
2456745.973,10.76,0.02,,R,OCN,,109,117,13312BIU," 	iTel21 ",0,,Z,10.442,11.163,,TCP J17154683-3128303,AAVSO,STD,,,,
2456745.974,10.13,0.03,,I,OCN,,109,117,13312BIU," 	iTel21 ",0,,Z,10.027,10.657,,TCP J17154683-3128303,AAVSO,STD,,,,
2456746.7049,12.15,0.07,,V,VOL,,ensemble,117,13318BYL,""" 	DSLR image taken by Hermann Koberger, Vilaflor, Tenerife """,1,,Z,na,11.60,,TCP J17154683-3128303,AAVSO,STD,,,,
2456746.7056,12.15,0.07,,V,VOL,,ensemble,117,13318BYL,""" 	DSLR image taken by Hermann Koberger, Vilaflor, Tenerife """,1,,Z,na,11.61,,TCP J17154683-3128303,AAVSO,STD,,,,
2456747.90000,12.8,,,Vis.,SLH,,11.7,12.7,13313 afi,,,,Z,,,,TCP J17154683-3128303,AAVSO,STD,,,,
2456748.197546,13.780,0.008,,B,PJOC,,ENSEMBLE,000-BLH-273,13341HBY,,0,1.116,Z,,13.346,,NOVA SCO 2014,AAVSO,STD,,,,
