JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456023.04375,10.2,,,TG,KBJ,BU,9.6,10.2,7048XO," 	Unfiltered DSLR ",,,Z,,,,TCP J14250600-5845360,,STD,,,,
2456023.53403,9.7,,,Vis.,AAX,BK,94,100,7047gke,MOON TYC comps with b-v>+0.9,,,Z,,,,TCP J14250600-5845360,REA,STD,,,,
2456023.53472,9.8,,,Vis.,AAX,BK,97,102,7047gke," 	MOON ASAS3 comps with b-v&lt;+0.5 ",,,Z,,,,TCP J14250600-5845360,REA,STD,,,,
2456023.82762,08.708,0.003,,R,OAR,,96,125,7048CA,CMAG:9.184 TCP J14250600-5845360-S001-R001-C001-RED.FTS,0,1.325,Z,-14.607,-12.072,,TCP J14250600-5845360,URSA,STD,,,,
2456023.82783,08.692,0.003,,R,OAR,,96,125,7048CA,CMAG:9.184 TCP J14250600-5845360-S001-R001-C002-RED.FTS,0,1.326,Z,-14.624,-12.090,,TCP J14250600-5845360,URSA,STD,,,,
2456023.82805,08.694,0.003,,R,OAR,,96,125,7048CA,CMAG:9.184 TCP J14250600-5845360-S001-R001-C003-RED.FTS,0,1.327,Z,-14.629,-12.083,,TCP J14250600-5845360,URSA,STD,,,,
2456023.82834,10.085,0.003,,V,OAR,,96,125,7048CA,CMAG:9.640 TCP J14250600-5845360-S001-R001-C001-GREEN.FTS,0,1.327,Z,-14.529,-11.417,,TCP J14250600-5845360,URSA,STD,,,,
2456023.82862,10.075,0.003,,V,OAR,,96,125,7048CA,CMAG:9.640 TCP J14250600-5845360-S001-R001-C002-GREEN.FTS,0,1.328,Z,-14.515,-11.405,,TCP J14250600-5845360,URSA,STD,,,,
2456023.82883,10.075,0.003,,V,OAR,,96,125,7048CA,CMAG:9.640 TCP J14250600-5845360-S001-R001-C003-GREEN.FTS,0,1.328,Z,-14.513,-11.404,,TCP J14250600-5845360,URSA,STD,,,,
2456023.82911,11.684,0.005,,B,OAR,,96,125,7048CA,CMAG:10.032 TCP J14250600-5845360-S001-R001-C001-BLUE.FTS,0,1.329,Z,-13.946,-10.052,,TCP J14250600-5845360,URSA,STD,,,,
2456023.82931,11.691,0.005,,B,OAR,,96,125,7048CA,CMAG:10.032 TCP J14250600-5845360-S001-R001-C002-BLUE.FTS,0,1.330,Z,-13.958,-10.040,,TCP J14250600-5845360,URSA,STD,,,,
2456023.82952,11.691,0.005,,B,OAR,,96,125,7048CA,CMAG:10.032 TCP J14250600-5845360-S001-R001-C003-BLUE.FTS,0,1.330,Z,-13.953,-10.035,,TCP J14250600-5845360,URSA,STD,,,,
2456023.90208,9.984,0.008,,V,HMB,,000-BKL-074,000-BKL-075,,,0,1.64,Z,9.640,10.476,,TCP J14250600-5845360,VVS,STD,,,,
2456023.90223,7.184,0.010,,I,HMB,,000-BKL-074,000-BKL-075,,,0,1.64,Z,8.757,9.434,,TCP J14250600-5845360,VVS,STD,,,,
2456023.90245,9.968,0.008,,V,HMB,,000-BKL-074,000-BKL-075,,,0,1.65,Z,9.640,10.500,,TCP J14250600-5845360,VVS,STD,,,,
2456023.90259,7.188,0.010,,I,HMB,,000-BKL-074,000-BKL-075,,,0,1.65,Z,8.757,9.432,,TCP J14250600-5845360,VVS,STD,,,,
2456023.90280,9.952,0.008,,V,HMB,,000-BKL-074,000-BKL-075,,,0,1.65,Z,9.640,10.453,,TCP J14250600-5845360,VVS,STD,,,,
2456023.90295,7.165,0.010,,I,HMB,,000-BKL-074,000-BKL-075,,,0,1.65,Z,8.757,9.430,,TCP J14250600-5845360,VVS,STD,,,,
2456023.90315,9.982,0.008,,V,HMB,,000-BKL-074,000-BKL-075,,,0,1.65,Z,9.640,10.483,,TCP J14250600-5845360,VVS,STD,,,,
2456023.90330,7.176,0.010,,I,HMB,,000-BKL-074,000-BKL-075,,,0,1.65,Z,8.757,9.421,,TCP J14250600-5845360,VVS,STD,,,,
2456023.90352,9.972,0.008,,V,HMB,,000-BKL-074,000-BKL-075,,,0,1.65,Z,9.640,10.488,,TCP J14250600-5845360,VVS,STD,,,,
2456023.90366,7.168,0.010,,I,HMB,,000-BKL-074,000-BKL-075,,,0,1.65,Z,8.757,9.399,,TCP J14250600-5845360,VVS,STD,,,,
2456023.90388,9.967,0.008,,V,HMB,,000-BKL-074,000-BKL-075,,,0,1.66,Z,9.640,10.482,,TCP J14250600-5845360,VVS,STD,,,,
2456023.90424,9.961,0.008,,V,HMB,,000-BKL-074,000-BKL-075,,,0,1.66,Z,9.640,10.478,,TCP J14250600-5845360,VVS,STD,,,,
2456023.90764,9.963,0.024,,V,HMB,,000-BKL-074,000-BKL-075,,,0,1.68,Z,9.640,10.411,,TCP J14250600-5845360,VVS,STD,,,,
2456023.91045,9.950,0.008,,V,HMB,,000-BKL-074,000-BKL-075,,,0,1.70,Z,9.640,10.468,,TCP J14250600-5845360,VVS,STD,,,,
2456023.91060,7.181,0.010,,I,HMB,,000-BKL-074,000-BKL-075,,,0,1.70,Z,8.757,9.427,,TCP J14250600-5845360,VVS,STD,,,,
