JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456447.49236,11.3,,,Vis.,AAX,UK,110,113,11921JB,TYC CLOUDS,,,Z,,,,PNV J17335943-3606216,REA,STD,,,,
2456447.4924,11.3,,,Vis.,AAX,K,110,113,11921JB,TYC,,,Z,,,,N SCO 2013,REA,STD,,,,
2456447.92659,13.674,0.026,,V,HMB,,000-BKZ-715,000-BKZ-716,11926N,STANDARD MAG: C = 11.027  K = 11.059,0,2.32,Z,-12.734,-12.722,,PNV J17335943-3606216,VVS,STD,,,,
2456447.92699,13.638,0.026,,V,HMB,,000-BKZ-715,000-BKZ-716,11926N,STANDARD MAG: C = 11.027  K = 11.059,0,2.33,Z,-12.725,-12.702,,PNV J17335943-3606216,VVS,STD,,,,
2456447.92744,9.736,0.007,,I,HMB,,000-BKZ-715,000-BKZ-716,11926N,STANDARD MAG: C = 10.181  K = 10.063,0,2.34,Z,-12.003,-12.070,,PNV J17335943-3606216,VVS,STD,,,,
2456447.92785,9.721,0.007,,I,HMB,,000-BKZ-715,000-BKZ-716,11926N,STANDARD MAG: C = 10.181  K = 10.063,0,2.35,Z,-11.970,-12.054,,PNV J17335943-3606216,VVS,STD,,,,
2456447.936829,13.7707,0.0094,,V,SPET,,118,110,11943EQH,,0,1.650,Z,12.4591,11.7473,,N SCO 2013,AAVSO,STD,,,,
2456447.937894,11.6167,0.0011,,CV,SPET,,118,110,11943EQH,,0,1.638,Z,10.7911,10.0078,,N SCO 2013,AAVSO,STD,,,,
2456447.938912,15.4513,0.0804,,B,SPET,,118,110,11943EQH,,0,1.628,Z,12.9197,12.3541,,N SCO 2013,AAVSO,STD,,,,
2456447.939931,13.6740,0.0075,,V,SPET,,118,110,11943EQH,,0,1.617,Z,12.3324,11.6125,,N SCO 2013,AAVSO,STD,,,,
2456447.940995,11.6131,0.0011,,CV,SPET,,118,110,11943EQH,,0,1.607,Z,10.7169,9.9295,,N SCO 2013,AAVSO,STD,,,,
2456447.942014,15.2864,0.0402,,B,SPET,,118,110,11943EQH,,0,1.597,Z,12.8989,12.3319,,N SCO 2013,AAVSO,STD,,,,
2456447.943032,13.7000,0.0072,,V,SPET,,118,110,11943EQH,,0,1.587,Z,12.2430,11.5268,,N SCO 2013,AAVSO,STD,,,,
2456447.944086,11.6176,0.0011,,CV,SPET,,118,110,11943EQH,,0,1.577,Z,10.5555,9.7704,,N SCO 2013,AAVSO,STD,,,,
2456447.945116,15.3473,0.0364,,B,SPET,,118,110,11943EQH,,0,1.567,Z,12.7302,12.1777,,N SCO 2013,AAVSO,STD,,,,
2456447.946123,13.6779,0.0080,,V,SPET,,118,110,11943EQH,,0,1.558,Z,12.4476,11.7348,,N SCO 2013,AAVSO,STD,,,,
2456447.947176,11.6243,0.0011,,CV,SPET,,118,110,11943EQH,,0,1.548,Z,10.7583,9.9818,,N SCO 2013,AAVSO,STD,,,,
2456447.948194,15.1571,0.0433,,B,SPET,,118,110,11943EQH,,0,1.539,Z,13.1150,12.5637,,N SCO 2013,AAVSO,STD,,,,
2456447.949213,13.6971,0.0090,,V,SPET,,118,110,11943EQH,,0,1.530,Z,12.5659,11.8591,,N SCO 2013,AAVSO,STD,,,,
2456447.950278,11.6356,0.0011,,CV,SPET,,118,110,11943EQH,,0,1.521,Z,10.7531,9.9774,,N SCO 2013,AAVSO,STD,,,,
2456447.951285,15.3533,0.0394,,B,SPET,,118,110,11943EQH,,0,1.512,Z,12.7613,12.2165,,N SCO 2013,AAVSO,STD,,,,
2456447.952373,13.6865,0.0058,,V,SPET,,118,110,11943EQH,,0,1.503,Z,12.1113,11.3994,,N SCO 2013,AAVSO,STD,,,,
2456447.953438,11.6318,0.0010,,CV,SPET,,118,110,11943EQH,,0,1.494,Z,10.6132,9.8319,,N SCO 2013,AAVSO,STD,,,,
2456447.954444,15.3164,0.0358,,B,SPET,,118,110,11943EQH,,0,1.486,Z,12.7786,12.2288,,N SCO 2013,AAVSO,STD,,,,
2456447.955463,13.6799,0.0064,,V,SPET,,118,110,11943EQH,,0,1.478,Z,12.1510,11.4433,,N SCO 2013,AAVSO,STD,,,,
2456447.95564,16.066,0.076,,B,BHQ,,ENSEMBLE,000-BKZ-718,11934AYW,,0,1.427,Z,,11.956,,NOVA SCO 2013,VSS,STD,,,,
2456447.956516,11.6374,0.0010,,CV,SPET,,118,110,11943EQH,,0,1.469,Z,10.5082,9.7265,,N SCO 2013,AAVSO,STD,,,,
2456447.957535,15.3358,0.0357,,B,SPET,,118,110,11943EQH,,0,1.461,Z,12.7458,12.2037,,N SCO 2013,AAVSO,STD,,,,
2456447.95781,16.091,0.080,,B,BHQ,,ENSEMBLE,000-BKZ-718,11934AYW,,0,1.412,Z,,12.002,,NOVA SCO 2013,VSS,STD,,,,
2456447.958565,13.6739,0.0069,,V,SPET,,118,110,11943EQH,,0,1.453,Z,12.3285,11.6172,,N SCO 2013,AAVSO,STD,,,,
2456447.95963,11.6332,0.0010,,CV,SPET,,118,110,11943EQH,,0,1.445,Z,10.6961,9.9102,,N SCO 2013,AAVSO,STD,,,,
2456447.95995,16.096,0.077,,B,BHQ,,ENSEMBLE,000-BKZ-718,11934AYW,,0,1.397,Z,,11.988,,NOVA SCO 2013,VSS,STD,,,,
2456447.960706,15.2460,0.0338,,B,SPET,,118,110,11943EQH,,0,1.437,Z,12.7633,12.2061,,N SCO 2013,AAVSO,STD,,,,
2456447.961806,13.6727,0.0063,,V,SPET,,118,110,11943EQH,,0,1.429,Z,12.1459,11.4390,,N SCO 2013,AAVSO,STD,,,,
2456447.96209,13.486,0.010,,V,BHQ,,ENSEMBLE,000-BKZ-718,11934AYW,,0,1.383,Z,,11.734,,NOVA SCO 2013,VSS,STD,,,,
2456447.96287,11.6408,0.0011,,CV,SPET,,118,110,11943EQH,,0,1.421,Z,10.6561,9.8724,,N SCO 2013,AAVSO,STD,,,,
2456447.963889,15.2704,0.0322,,B,SPET,,118,110,11943EQH,,0,1.414,Z,12.7580,12.2019,,N SCO 2013,AAVSO,STD,,,,
2456447.964907,13.6787,0.0064,,V,SPET,,118,110,11943EQH,,0,1.407,Z,12.1441,11.4280,,N SCO 2013,AAVSO,STD,,,,
2456447.965972,11.6481,0.0010,,CV,SPET,,118,110,11943EQH,,0,1.400,Z,10.5785,9.8050,,N SCO 2013,AAVSO,STD,,,,
2456447.96647,13.514,0.009,,V,BHQ,,ENSEMBLE,000-BKZ-718,11934AYW,,0,1.354,Z,,11.752,,NOVA SCO 2013,VSS,STD,,,,
2456447.966991,15.3842,0.0358,,B,SPET,,118,110,11943EQH,,0,1.393,Z,12.7013,12.1554,,N SCO 2013,AAVSO,STD,,,,
2456447.968009,13.6954,0.0063,,V,SPET,,118,110,11943EQH,,0,1.386,Z,12.1284,11.4237,,N SCO 2013,AAVSO,STD,,,,
2456447.96861,13.486,0.010,,V,BHQ,,ENSEMBLE,000-BKZ-718,11934AYW,,0,1.341,Z,,11.742,,NOVA SCO 2013,VSS,STD,,,,
2456447.969063,11.6469,0.0010,,CV,SPET,,118,110,11943EQH,,0,1.379,Z,10.5366,9.7582,,N SCO 2013,AAVSO,STD,,,,
2456447.970081,15.3800,0.0347,,B,SPET,,118,110,11943EQH,,0,1.372,Z,12.6151,12.0833,,N SCO 2013,AAVSO,STD,,,,
2456447.97075,13.515,0.009,,V,BHQ,,ENSEMBLE,000-BKZ-718,11934AYW,,0,1.328,Z,,11.748,,NOVA SCO 2013,VSS,STD,,,,
2456447.9711,13.6898,0.0060,,V,SPET,,118,110,11943EQH,,0,1.366,Z,12.0651,11.3557,,N SCO 2013,AAVSO,STD,,,,
2456447.972164,11.6550,0.0010,,CV,SPET,,118,110,11943EQH,,0,1.359,Z,10.4905,9.7146,,N SCO 2013,AAVSO,STD,,,,
2456447.97288,11.592,0.005,,R,BHQ,,ENSEMBLE,000-BKZ-718,11934AYW,,0,1.316,Z,,11.481,,NOVA SCO 2013,VSS,STD,,,,
2456447.973183,15.2503,0.0275,,B,SPET,,118,110,11943EQH,,0,1.353,Z,12.5894,12.0563,,N SCO 2013,AAVSO,STD,,,,
2456447.974201,13.7049,0.0060,,V,SPET,,118,110,11943EQH,,0,1.346,Z,12.0538,11.3509,,N SCO 2013,AAVSO,STD,,,,
2456447.97504,11.580,0.005,,R,BHQ,,ENSEMBLE,000-BKZ-718,11934AYW,,0,1.304,Z,,11.472,,NOVA SCO 2013,VSS,STD,,,,
2456447.975266,11.6480,0.0010,,CV,SPET,,118,110,11943EQH,,0,1.340,Z,10.5193,9.7300,,N SCO 2013,AAVSO,STD,,,,
2456447.976273,15.3369,0.0307,,B,SPET,,118,110,11943EQH,,0,1.334,Z,12.5221,11.9714,,N SCO 2013,AAVSO,STD,,,,
2456447.97717,9.839,0.010,,I,BHQ,,ENSEMBLE,000-BKZ-718,11934AYW,,0,1.292,Z,,11.199,,NOVA SCO 2013,VSS,STD,,,,
2456447.977303,13.6907,0.0054,,V,SPET,,118,110,11943EQH,,0,1.328,Z,11.9576,11.2474,,N SCO 2013,AAVSO,STD,,,,
2456447.978368,11.6483,0.0009,,CV,SPET,,118,110,11943EQH,,0,1.322,Z,10.3824,9.5968,,N SCO 2013,AAVSO,STD,,,,
2456447.97933,9.831,0.010,,I,BHQ,,ENSEMBLE,000-BKZ-718,11934AYW,,0,1.281,Z,,11.200,,NOVA SCO 2013,VSS,STD,,,,
2456447.979398,15.2754,0.0271,,B,SPET,,118,110,11943EQH,,0,1.316,Z,12.5034,11.9510,,N SCO 2013,AAVSO,STD,,,,
2456447.980417,13.6959,0.0052,,V,SPET,,118,110,11943EQH,,0,1.310,Z,11.9609,11.2456,,N SCO 2013,AAVSO,STD,,,,
2456447.98146,9.838,0.010,,I,BHQ,,ENSEMBLE,000-BKZ-718,11934AYW,,0,1.270,Z,,11.196,,NOVA SCO 2013,VSS,STD,,,,
2456447.98147,11.6572,0.0011,,CV,SPET,,118,110,11943EQH,,0,1.304,Z,10.3816,9.6001,,N SCO 2013,AAVSO,STD,,,,
2456447.9825,15.3364,0.0289,,B,SPET,,118,110,11943EQH,,0,1.299,Z,12.5039,11.9613,,N SCO 2013,AAVSO,STD,,,,
2456447.983519,13.6928,0.0056,,V,SPET,,118,110,11943EQH,,0,1.293,Z,11.9649,11.2498,,N SCO 2013,AAVSO,STD,,,,
2456447.984653,11.6626,0.0010,,CV,SPET,,118,110,11943EQH,,0,1.287,Z,10.3914,9.6164,,N SCO 2013,AAVSO,STD,,,,
