JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457065.81389,9.5,,,Vis.,AAX,B,92,99,14381LA,MOON,,,Z,,,,PNV J17032620-3504140,REA,STD,,,,
2457065.82500,9.2,,,Vis.,CLUB,B,99,88,14381ALZ,Moon.,,,Z,,,,PNV J17032620-3504140,NEOA-JBS,STD,,,,
2457066.17917,9.4,,,TG,KBJ,B,,,14400CNS,,0,,Z,8.8,9.9,,PNV J17032620-3504140,,STD,,,,
2457066.96250,9.5,,,Vis.,SLH,,9.2,9.9,14400 byx,,,,Z,,,,PNV J17032620-3504140,AAVSO,STD,,,,
2457067.16875,9.8,,,Vis.,WCG,B,92,105,14400AFC,"""Instrument used 10\"" f/5 Dob, 32mm P, x39 (77').""",,,Z,,,,PNV J17032620-3504140,AAVSO,STD,,,,
2457067.21065,9.498,0.020,,V,WRCA,,ENSEMBLE,105,14400EOK,,0,1.775,Z,,10.497,,PNV J17032620-3504140,AAVSO,STD,,,,
2457067.22648,9.517,0.027,,V,WRCA,,ENSEMBLE,105,14400EOK,,0,1.597,Z,,10.492,,PNV J17032620-3504140,AAVSO,STD,,,,
2457067.70,9.1,,,Vis.,BFO,,000,,999999,,,,Z,,,,NOVA SCO 2015,MCSE,STD,,,,
2457068.32917,10.2,,,Vis.,PEX,,99,105,14381AVM,,,,Z,,,,PNV J17032620-3504140,VSS,STD,,,,
2457069.210856,9.9640,0.0095,,V,SPET,,127,134,14431OX,,0,1.697,Z,13.5531,14.2749,,PNV J17032620-3504140,AAVSO,STD,,,,
2457069.211852,9.9534,0.0097,,V,SPET,,127,134,14431OX,,0,1.686,Z,13.5605,14.2809,,PNV J17032620-3504140,AAVSO,STD,,,,
2457069.212859,9.9567,0.0095,,V,SPET,,127,134,14431OX,,0,1.674,Z,13.5565,14.2747,,PNV J17032620-3504140,AAVSO,STD,,,,
2457069.213866,9.9678,0.0092,,V,SPET,,127,134,14431OX,,0,1.663,Z,13.5476,14.2701,,PNV J17032620-3504140,AAVSO,STD,,,,
2457069.214861,9.9517,0.0086,,V,SPET,,127,134,14431OX,,0,1.652,Z,13.5501,14.2215,,PNV J17032620-3504140,AAVSO,STD,,,,
2457069.215868,9.9508,0.0067,,V,SPET,,127,134,14431OX,,0,1.641,Z,13.5579,14.2927,,PNV J17032620-3504140,AAVSO,STD,,,,
2457069.216875,9.9516,0.0065,,V,SPET,,127,134,14431OX,,0,1.631,Z,13.5672,14.2881,,PNV J17032620-3504140,AAVSO,STD,,,,
2457069.217882,9.9616,0.0072,,V,SPET,,127,134,14431OX,,0,1.620,Z,13.5471,14.2658,,PNV J17032620-3504140,AAVSO,STD,,,,
2457069.218889,9.9558,0.0074,,V,SPET,,127,134,14431OX,,0,1.610,Z,13.5428,14.2731,,PNV J17032620-3504140,AAVSO,STD,,,,
2457069.219896,9.9612,0.0078,,V,SPET,,127,134,14431OX,,0,1.600,Z,13.5340,14.2379,,PNV J17032620-3504140,AAVSO,STD,,,,
2457069.221215,10.8075,0.0076,,B,SPET,,127,134,14431OX,,0,1.587,Z,14.4808,15.2308,,PNV J17032620-3504140,AAVSO,STD,,,,
