# PR_STOUT run at Thu Jun 11 13:48:51 2009
 
   col1    col2   col3   col4
3818.49044   J   14.136  0.146
3818.49348   H   12.499  0.063
3820.47888   K   10.529  0.071
3820.48067   J   14.274  0.160
3820.48367   H   12.524  0.064
3822.46944   K   10.546  0.075
3822.47127   J   14.225  0.164
3822.47469   H   12.521  0.065
3823.48631   K   10.626  0.070
3823.48810   J   14.274  0.147
3823.49110   H   12.580  0.070
3826.47409   K   10.568  0.080
3826.47588   J   14.081  0.140
3826.47888   H   12.580  0.064
3831.47077   K   10.714  0.073
3831.47256   J   14.008  0.140
3831.47556   H   12.670  0.063
3832.49561   K   10.802  0.072
3832.49741   J   14.198  0.147
3832.50041   H   12.774  0.066
3833.46066   K   10.846  0.070
3833.46246   J   14.290  0.145
3833.46546   H   12.857  0.068
3836.46441   K   11.102  0.079
3836.46620   J   14.491  0.166
3836.46921   H   13.020  0.073
3837.46126   K   11.076  0.074
3837.46305   J   14.621  0.164
3837.46606   H   13.109  0.079
3840.47382   K   11.178  0.125
3840.47562   J   14.533  0.268
3840.47862   H   13.548  0.203
3844.46672   K   11.227  0.078
3844.46851   J   14.815  0.174
3844.47147   H   13.379  0.091
3846.45920   K   11.281  0.082
3846.46103   J   14.723  0.171
3846.46403   H   13.357  0.089
3848.45368   K   11.267  0.101
3848.45547   J   14.716  0.201
3848.45847   H   13.359  0.096
3849.45484   K   11.292  0.091
3849.45667   J   14.836  0.203
3849.45963   H   13.454  0.089
3850.44892   K   11.397  0.091
3850.45071   J   14.778  0.200
3850.45371   H   13.363  0.087
3851.46846   K   11.351  0.095
3851.47025   J   14.875  0.183
3851.47325   H   13.400  0.091
3853.47188   K   11.429  0.091
3853.47367   J   15.091  0.219
3853.47667   H   13.468  0.089
3854.47171   K   11.460  0.085
3854.47354   J   14.915  0.195
3854.47655   H   13.499  0.092
3855.48259   J   14.945  0.397
3855.48559   H   13.638  0.126
3861.45668   K   11.504  0.127
3861.45852   J   14.521  0.267
3861.46152   H   13.347  0.110
3862.45274   K   11.587  0.085
3862.45453   J   14.705  0.172
3862.45753   H   13.505  0.091
3864.44002   K   11.809  0.092
3864.44181   J   14.727  0.160
3864.44477   H   13.588  0.091
3866.43885   K   11.868  0.096
3866.44064   J   14.729  0.170
3866.44364   H   13.756  0.098
3867.45708   K   11.749  0.088
3867.45887   J   14.929  0.185
3867.46187   H   13.702  0.098
3869.44520   K   11.751  0.098
3869.44699   J   14.750  0.175
3869.44999   H   13.801  0.088
3870.44702   K   11.863  0.105
3870.44881   J   14.849  0.203
3870.45181   H   13.675  0.101
3871.44463   K   11.799  0.096
3871.44642   J   14.782  0.153
3872.44694   K   11.799  0.098
3872.44874   J   15.155  0.201
3872.45174   H   13.774  0.094
3875.43886   K   12.388  0.122
3875.44065   J   15.584  0.215
3875.44365   H   14.206  0.125
3880.43282   K   12.615  0.139
3880.43461   J   15.341  0.251
3880.43761   H   14.354  0.136
3930.93492   K   14.299  0.281
3930.93804   J   16.573  0.389
3930.94429   H   15.642  0.249
3937.92899   K   14.320  0.268
3937.93078   J   16.475  0.350
3937.93374   H   16.432  0.304
3945.90088   K   15.115  0.402
3945.90400   J   16.946  0.507
3945.91026   H   16.169  0.319
3958.87928   H   17.157  0.537
3958.88216   K   15.327  0.482
3958.88507   J   17.419  0.697
3965.85937   H   16.773  0.346
3965.86225   K   15.550  0.573
3965.86517   J   17.620  0.513
3971.85951   H   16.491  0.384
3971.86239   K   15.883  0.543
3971.86527   J   16.958  0.342
