# PR_STOUT run at Tue Nov 27 10:16:30 2012
 
   col1     col2  col3   col4
(+2450000)        Mag.       
6220.64730   H   16.174  0.299 
6220.64763   J   16.480  0.419 
6220.64792   K   15.961  0.376 
6229.64886   H   16.996  0.549 
6229.64915   J   17.944  1.133 
6229.64945   K   15.749  0.390 
6237.58522   H   16.563  0.366 
6237.58551   J   18.880  1.318 
6237.58581   K   19.243  1.581 
6256.55880   H   16.747  0.402 
6256.55909   J   17.154  0.600 
6256.55943   K   20.427  2.994 
