# PR_STOUT run at Thu Jun 11 13:49:07 2009
 
   col1     col2  col3   col4
3787.56301   V   14.783  0.004
3787.56480   R   12.452  0.004
3787.56601   I    9.921  0.003
3787.56780   B   14.298  0.003
3788.55628   V   14.062  0.003
3788.55807   R   12.094  0.003
3788.55928   I    9.558  0.002
3788.56107   B   13.620  0.002
3789.58188   V   14.570  0.003
3789.58367   R   12.461  0.004
3789.58488   I    9.923  0.003
3789.58667   B   14.116  0.003
3790.54957   V   14.620  0.003
3790.55136   R   12.379  0.004
3790.55257   I    9.905  0.003
3790.55436   B   14.122  0.003
3791.54718   V   14.433  0.003
3791.54897   R   12.387  0.004
3791.55018   I    9.859  0.003
3791.55197   B   13.983  0.003
3792.54154   V   15.020  0.004
3792.54333   R   12.632  0.004
3792.54454   I   10.195  0.004
3792.54633   B   14.469  0.003
3793.52640   V   14.109  0.003
3793.52824   R   12.186  0.003
3793.52945   I    9.682  0.003
3793.53124   B   13.659  0.002
3797.53820   V   14.447  0.003
3797.53999   R   12.518  0.004
3797.54120   I   10.088  0.003
3797.54303   B   13.943  0.003
3798.53577   V   14.623  0.003
3798.53756   R   12.631  0.004
3798.53877   I   10.218  0.003
3798.54056   B   14.081  0.003
3799.53823   V   14.236  0.003
3799.54002   R   12.427  0.004
3799.54123   I    9.990  0.003
3799.54302   B   13.795  0.002
3800.54185   V   14.536  0.003
3800.54364   R   12.690  0.004
3800.54481   I   10.230  0.004
3800.54664   B   14.021  0.003
3801.53818   V   14.764  0.004
3801.53997   R   12.877  0.005
3801.54118   I   10.483  0.004
3801.54297   B   14.207  0.003
3804.53089   V   13.889  0.002
3804.53268   R   12.353  0.004
3804.53389   I    9.796  0.003
3804.53568   B   13.489  0.002
3806.52361   V   14.196  0.003
3806.52545   R   12.582  0.004
3806.52665   I   10.085  0.003
3806.52845   B   13.791  0.003
3808.52076   V   14.476  0.004
3808.52255   R   12.835  0.005
3808.52384   I   10.300  0.004
3808.52563   B   14.040  0.003
3810.53661   V   14.447  0.003
3810.53836   R   12.839  0.005
3810.53965   I   10.324  0.004
3810.54145   B   14.028  0.003
3812.51052   V   14.767  0.004
3812.51231   R   13.041  0.005
3812.51348   I   10.641  0.005
3812.51531   B   14.222  0.003
3814.51718   V   15.004  0.004
3814.51897   R   13.190  0.006
3814.52018   I   10.838  0.005
3814.52197   B   14.407  0.003
3815.49870   V   15.202  0.005
3815.50049   R   13.281  0.006
3815.50170   I   10.996  0.006
3815.50349   B   14.581  0.004
3816.51656   V   15.291  0.005
3816.51835   R   13.276  0.006
3816.51956   I   11.027  0.006
3816.52135   B   14.645  0.004
3818.48869   V   15.351  0.005
3818.49044   R   13.304  0.007
3818.49173   I   11.092  0.006
3818.49353   B   14.723  0.004
3820.47892   V   15.707  0.009
3820.48071   R   13.473  0.008
3820.48192   I   11.275  0.008
3820.48371   B   14.921  0.005
3822.46948   V   16.128  0.022
3822.47131   R   13.889  0.015
3822.47286   I   11.560  0.016
3822.47473   B   15.206  0.008
3823.48635   V   15.716  0.007
3823.48814   R   13.246  0.006
3823.48935   I   11.131  0.006
3823.49114   B   15.002  0.005
3826.47409   V   15.757  0.011
3826.47588   R   13.564  0.010
3826.47709   I   11.191  0.008
3826.47888   B   14.901  0.005
3831.47081   V   15.726  0.009
3831.47260   R   13.291  0.007
3831.47381   I   11.218  0.008
3831.47560   B   15.043  0.006
3832.49566   V   15.720  0.007
3832.49745   R   13.261  0.007
3832.49866   I   11.159  0.007
3832.50045   B   15.192  0.006
3833.46071   V   16.211  0.024
3833.46250   R   13.848  0.015
3833.46371   I   11.635  0.017
3833.46550   B   15.475  0.011
3836.46445   V   16.050  0.014
3836.46625   R   13.625  0.010
3836.46746   I   11.614  0.012
3836.46925   B   15.581  0.010
3837.46130   V   16.110  0.017
3837.46310   R   13.731  0.011
3837.46431   I   11.759  0.015
3837.46610   B   15.558  0.010
3840.47387   V   16.110  0.015
3840.47566   R   13.874  0.014
3840.47687   I   12.033  0.026
3840.47866   B   16.018  0.030
3844.46672   V   15.918  0.008
3844.46851   R   13.582  0.008
3844.46972   I   11.762  0.011
3844.47151   B   15.456  0.006
3846.45924   V   15.953  0.011
3846.46107   R   13.667  0.009
3846.46228   I   11.796  0.013
3846.46407   B   15.448  0.007
3848.45368   V   16.238  0.023
3848.45551   R   14.036  0.017
3848.45668   I   12.104  0.028
3848.45851   B   15.612  0.011
3849.45488   V   16.085  0.015
3849.45667   R   13.806  0.012
3849.45788   I   11.903  0.017
3849.45967   B   15.478  0.008
3850.44896   V   16.334  0.029
3850.45075   R   14.167  0.021
3850.45196   I   12.107  0.028
3850.45375   B   15.703  0.014
3851.46846   V   15.820  0.007
3851.47029   R   13.489  0.007
3851.47146   I   11.711  0.010
3851.47325   B   15.373  0.006
3853.47192   V   15.823  0.007
3853.47371   R   13.547  0.008
3853.47492   I   11.743  0.010
3853.47671   B   15.385  0.006
3854.47175   V   15.821  0.007
3854.47354   R   13.541  0.008
3854.47475   I   11.758  0.010
3854.47659   B   15.378  0.006
