# PR_STOUT run at Fri Feb 16 13:36:16 2018
 
   col1     col2   col3   col4    Flux   seeing    yymmdd source
7915.60303   B   15.373  0.001  4.28E-15  0.57    170610 Andicam
7915.60400   V   15.112  0.001  3.26E-15  0.50    170610 Andicam
7915.60498   R   15.045  0.001  2.06E-15  0.47    170610 Andicam
7922.60889   I   14.977  0.001  1.11E-15  0.65    170617 Andicam
7922.61084   B   15.534  0.001  3.69E-15  0.83    170617 Andicam
7922.61182   V   15.221  0.001  2.95E-15  0.78    170617 Andicam
7922.61279   R   15.138  0.001  1.89E-15  0.76    170617 Andicam
7938.54199   I   14.964  0.001  1.12E-15  0.73    170703 Andicam
7938.54395   B   15.520  0.001  3.74E-15  0.89    170703 Andicam
7938.54492   V   15.248  0.001  2.87E-15  0.73    170703 Andicam
7938.54590   R   15.160  0.001  1.85E-15  0.78    170703 Andicam
7948.53076   I   14.859  0.001  1.24E-15  0.70    170713 Andicam
7948.53223   B   15.458  0.001  3.96E-15  0.90    170713 Andicam
7948.53320   V   15.160  0.001  3.12E-15  1.06    170713 Andicam
7948.53418   R   15.029  0.001  2.08E-15  0.85    170713 Andicam
7968.56689   I   14.705  0.001  1.43E-15  0.76    170802 Andicam
7968.56885   B   15.262  0.001  4.74E-15  0.92    170802 Andicam
7968.56982   V   15.054  0.001  3.44E-15  0.82    170802 Andicam
7968.57080   R   14.936  0.001  2.27E-15  0.74    170802 Andicam
7970.57715   I   14.777  0.001  1.34E-15  0.70    170804 Andicam
7970.57812   B   15.257  0.001  4.76E-15  0.84    170804 Andicam
7970.57910   V   15.029  0.001  3.52E-15  0.81    170804 Andicam
7970.58008   R   14.930  0.001  2.28E-15  0.93    170804 Andicam
7979.53418   I   15.086  0.001  1.00E-15  0.78    170813 Andicam
7979.53516   B   15.425  0.001  4.08E-15  0.93    170813 Andicam
7979.53613   V   15.162  0.001  3.11E-15  0.79    170813 Andicam
7979.53809   R   15.145  0.001  1.87E-15  0.74    170813 Andicam
7989.51904   I   15.186  0.007  9.16E-16  0.62    170823 Andicam
7989.52002   B   15.572  0.003  3.56E-15  0.76    170823 Andicam
7989.52100   V   15.285  0.003  2.78E-15  0.66    170823 Andicam
