# PR_STOUT run at Mon May 21 09:25:12 2018
 
   col1     col2   col3   col4    Flux   seeing    yymmdd source
8167.63379   B   13.533  0.001  2.33E-14  0.78    180217 Andicam
8167.63477   R   10.264  0.001  1.68E-13  0.78    180217 Andicam
8167.63477   V   12.642  0.001  3.17E-14  0.94    180217 Andicam
8171.64014   I   10.775  0.002  5.33E-14  0.55    180221 Andicam
8171.64111   V   12.793  0.001  2.76E-14  0.67    180221 Andicam
8171.64111   B   13.615  0.001  2.16E-14  0.75    180221 Andicam
8171.64209   R   10.406  0.001  1.47E-13  0.62    180221 Andicam
8175.60986   I   10.771  0.002  5.34E-14  0.58    180225 Andicam
8175.61084   B   13.567  0.001  2.26E-14  0.65    180225 Andicam
8175.61182   V   12.740  0.001  2.89E-14  0.60    180225 Andicam
8175.61279   R   10.432  0.001  1.44E-13  0.59    180225 Andicam
8179.63477   I   10.877  0.002  4.85E-14  0.76    180301 Andicam
8179.63623   B   13.652  0.001  2.09E-14  0.86    180301 Andicam
8179.63721   V   12.807  0.001  2.72E-14  0.82    180301 Andicam
8179.63818   R   10.525  0.001  1.32E-13  0.81    180301 Andicam
8183.60498   I   11.047  0.002  4.15E-14  0.73    180305 Andicam
8183.60596   B   13.760  0.001  1.89E-14  0.93    180305 Andicam
8183.60693   V   12.963  0.001  2.36E-14  0.81    180305 Andicam
8183.60791   R   10.737  0.001  1.09E-13  0.79    180305 Andicam
8187.63477   I   10.996  0.002  4.34E-14  0.84    180309 Andicam
8187.63623   B   13.732  0.001  1.94E-14  0.94    180309 Andicam
8187.63721   R   10.692  0.001  1.13E-13  0.83    180309 Andicam
8187.63721   V   12.932  0.001  2.43E-14  0.81    180309 Andicam
8194.58691   I   10.998  0.001  4.34E-14  0.74    180316 Andicam
8194.58789   V   12.911  0.001  2.47E-14  0.78    180316 Andicam
8194.58789   B   13.697  0.001  2.00E-14  0.80    180316 Andicam
8194.58887   R   10.682  0.001  1.14E-13  0.73    180316 Andicam
