# PR_STOUT run at Thu Aug 29 11:46:49 2019
 
   col1     col2   col3   col4    Flux   seeing    yymmdd source
7947.45557   I   10.615  0.001  6.17E-14  0.52    170711 Andicam
7947.45654   B   13.592  0.002  2.21E-14  0.73    170711 Andicam
7947.45752   V   12.754  0.001  2.86E-14  0.58    170711 Andicam
7947.45850   R   11.264  0.001  6.69E-14  0.59    170711 Andicam
7953.51074   I   10.792  0.001  5.24E-14  0.77    170718 Andicam
7953.51172   B   13.388  0.002  2.66E-14  0.73    170718 Andicam
7953.51270   V   12.515  0.001  3.56E-14  0.81    170718 Andicam
7953.51367   R   11.346  0.001  6.20E-14  0.83    170718 Andicam
7969.48145   I   10.430  0.001  7.32E-14  0.82    170802 Andicam
7969.48193   B   13.182  0.002  3.22E-14  0.97    170802 Andicam
7969.48340   V   12.391  0.001  3.99E-14  0.85    170802 Andicam
7969.48389   R   11.016  0.001  8.41E-14  0.81    170802 Andicam
7975.51270   I   11.185  0.012  3.65E-14  1.24    170809 Andicam
7975.51367   B   13.613  0.024  2.16E-14  1.44    170809 Andicam
7975.51465   V   12.963  0.017  2.36E-14  1.54    170809 Andicam
7975.51562   R   11.640  0.016  4.73E-14  1.19    170809 Andicam
7983.48340   I   10.639  0.001  6.04E-14  0.63    170816 Andicam
7983.48438   B   13.232  0.002  3.08E-14  0.77    170816 Andicam
7983.48535   V   12.408  0.001  3.93E-14  0.69    170816 Andicam
7983.48633   R   11.321  0.001  6.34E-14  0.69    170816 Andicam
7992.50195   I   10.247  0.002  8.66E-14  0.77    170826 Andicam
7992.50293   B   12.984  0.003  3.86E-14  0.89    170826 Andicam
7992.50342   V   12.031  0.002  5.56E-14  0.85    170826 Andicam
7992.50439   R   10.933  0.003  9.07E-14  0.84    170826 Andicam
7999.50049   R   11.431  0.005  5.73E-14  0.92    170902 Andicam
8000.49805   I   10.802  0.004  5.20E-14  1.04    170902 Andicam
8000.49902   B   13.507  0.007  2.39E-14  1.08    170902 Andicam
8000.50000   V   12.722  0.004  2.94E-14  1.03    170902 Andicam
8009.47656   I   12.404  0.003  1.19E-14  1.40    170911 Andicam
8009.47705   B   14.604  0.006  8.69E-15  1.53    170911 Andicam
8009.47803   V   14.033  0.003  8.80E-15  1.36    170911 Andicam
8009.47852   R   12.557  0.004  2.03E-14  1.45    170911 Andicam
8107.84131   I   14.490  0.002  1.74E-15  0.65    171219 Andicam
8107.84229   B   16.215  0.003  1.97E-15  0.75    171219 Andicam
8107.84326   V   15.607  0.002  2.07E-15  0.77    171219 Andicam
8107.84375   R   14.428  0.002  3.63E-15  0.75    171219 Andicam
8117.81787   I   14.666  0.002  1.48E-15  0.62    171229 Andicam
8117.81885   B   16.370  0.003  1.71E-15  0.71    171229 Andicam
8117.81982   V   15.674  0.002  1.94E-15  0.69    171229 Andicam
8117.82031   R   14.628  0.002  3.02E-15  0.68    171229 Andicam
8128.85547   I   14.870  0.002  1.23E-15  0.54    180109 Andicam
8128.85596   B   16.555  0.003  1.44E-15  0.58    180109 Andicam
8128.85693   V   15.774  0.002  1.77E-15  0.56    180109 Andicam
8128.85791   R   14.854  0.002  2.45E-15  0.57    180109 Andicam
8140.83105   I   15.029  0.002  1.06E-15  0.56    180121 Andicam
8140.83203   B   16.709  0.003  1.25E-15  0.64    180121 Andicam
8140.83301   V   15.871  0.002  1.62E-15  0.58    180121 Andicam
8140.83350   R   15.044  0.002  2.06E-15  0.53    180121 Andicam
8150.78467   I   15.228  0.002  8.82E-16  0.57    180131 Andicam
8150.78516   B   16.926  0.004  1.02E-15  0.61    180131 Andicam
8150.78613   V   15.952  0.003  1.50E-15  0.69    180131 Andicam
8150.78662   R   15.243  0.002  1.71E-15  0.63    180131 Andicam
8186.70020   I   16.052  0.002  4.13E-16  0.75    180308 Andicam
8186.70068   B   17.638  0.003  5.31E-16  0.85    180308 Andicam
8186.70166   V   16.496  0.002  9.11E-16  0.83    180308 Andicam
8186.70215   R   16.071  0.002  7.99E-16  0.81    180308 Andicam
8217.67676   I   16.463  0.001  2.83E-16  0.74    180408 Andicam
8217.67773   B   18.117  0.003  3.42E-16  0.80    180408 Andicam
8217.67871   V   16.837  0.002  6.65E-16  0.79    180408 Andicam
8217.67969   R   16.609  0.001  4.87E-16  0.75    180408 Andicam
8247.62305   I   17.470  0.001  1.12E-16  1.45    180508 Andicam
8247.62402   B   18.240  0.001  3.05E-16  1.72    180508 Andicam
8247.62598   R   17.220  0.002  2.77E-16  1.30    180508 Andicam
8345.47363   B   17.900  0.001  4.17E-16  0.80    180813 Andicam
8345.47363   I   17.726  0.001  8.83E-17  0.71    180813 Andicam
8345.47461   V   18.271  0.003  1.78E-16  0.84    180813 Andicam
8345.47559   R   18.095  0.002  1.24E-16  0.76    180813 Andicam
8467.84180   I   19.223  0.001  2.22E-17  0.74    181214 Andicam
8467.84277   B   19.681  0.001  8.09E-17  0.84    181214 Andicam
8467.84375   V   18.490  0.002  1.45E-16  0.80    181214 Andicam
8467.84473   R   19.081  0.001  4.99E-17  0.74    181214 Andicam
8497.84277   I   18.315  0.001  5.13E-17  1.27    190113 Andicam
8497.84375   B   19.557  0.001  9.07E-17  1.44    190113 Andicam
8497.84473   V   19.097  0.002  8.30E-17  1.20    190113 Andicam
8497.84570   R   19.107  0.001  4.88E-17  1.23    190113 Andicam
8521.79297   I   18.481  0.001  4.41E-17  0.76    190206 Andicam
8521.79395   B   20.510  0.001  3.77E-17  0.89    190206 Andicam
8521.79492   V   19.163  0.002  7.81E-17  0.82    190206 Andicam
8521.79590   R   19.592  0.001  3.12E-17  0.81    190206 Andicam
