# PR_STOUT run at Sat Feb 17 16:14:22 2018
 
   col1     col2   col3   col4    Flux   seeing    yymmdd source
7833.85107   B   20.562  0.001  3.60E-17  0.69    170320 Andicam
7833.85205   V   18.442  0.001  1.52E-16  0.63    170320 Andicam
7833.85400   R   17.339  0.001  2.48E-16  0.55    170320 Andicam
7838.87988   I   17.523  0.001  1.06E-16  0.70    170325 Andicam
7838.88086   B   20.290  0.002  4.62E-17  0.91    170325 Andicam
7838.88281   V   18.509  0.001  1.43E-16  0.84    170325 Andicam
7838.88379   R   17.495  0.001  2.15E-16  0.75    170325 Andicam
7858.85107   I   16.111  0.001  3.91E-16  0.78    170414 Andicam
7858.85205   B   19.905  0.001  6.58E-17  0.95    170414 Andicam
7858.85400   V   18.782  0.001  1.11E-16  0.82    170414 Andicam
7858.85498   R   17.861  0.001  1.54E-16  0.79    170414 Andicam
7878.79492   I   18.086  0.001  6.34E-17  0.43    170504 Andicam
7878.79590   B   21.027  0.001  2.34E-17  0.54    170504 Andicam
7878.79688   V   18.913  0.001  9.83E-17  0.49    170504 Andicam
7878.79883   R   17.927  0.001  1.45E-16  0.45    170504 Andicam
7969.54199   I   20.033  0.001  1.06E-17  0.87    170803 Andicam
7969.54297   B   21.024  0.001  2.35E-17  1.19    170803 Andicam
7969.54395   V   20.553  0.001  2.17E-17  1.28    170803 Andicam
7969.54590   R   20.428  0.001  1.44E-17  0.90    170803 Andicam
7989.54688   I   17.661  0.001  9.37E-17  0.51    170823 Andicam
7989.54785   B   17.370  0.001  6.80E-16  0.68    170823 Andicam
7989.54883   V   17.671  0.001  3.09E-16  0.66    170823 Andicam
7989.54980   R   18.300  0.001  1.03E-16  0.56    170823 Andicam
8011.58496   I   19.593  0.001  1.58E-17  1.02    170914 Andicam
8011.58594   B   20.532  0.001  3.70E-17  1.51    170914 Andicam
8011.58691   V   20.186  0.001  3.04E-17  1.12    170914 Andicam
8011.58887   R   20.336  0.001  1.57E-17  0.98    170914 Andicam
8031.54785   I   17.100  0.001  1.57E-16  0.88    171004 Andicam
8031.54980   B   17.626  0.001  5.37E-16  1.12    171004 Andicam
8031.55078   V   17.529  0.001  3.52E-16  0.99    171004 Andicam
8031.55176   R   16.294  0.001  6.50E-16  0.89    171004 Andicam
