2452877.5956,10.14,,V
2452879.5963,8.90,,V
2452884.4271,8.20,,V
2452884.5799,8.41,,V
2452885.352,8.9,,V
2452885.5785,8.63,,V
2452885.65832,8.656,0.024,V
2452886.3380,8.8,,V
2452886.5724,8.81,,V
2452886.5750,8.93,,V
2452886.5776,8.90,,V
2452886.5809,8.89,,V
2452886.5837,8.88,,V
2452886.5863,8.89,,V
2452886.5889,8.89,,V
2452886.5915,8.87,,V
2452886.5940,8.87,,V
2452886.5966,8.90,,V
2452886.5992,8.88,,V
2452886.6033,8.89,,V
2452886.6059,8.89,,V
2452886.6085,8.91,,V
2452886.6111,8.91,,V
2452886.6137,8.89,,V
2452886.6163,8.93,,V
2452886.6189,8.89,,V
2452886.6215,8.91,,V
2452886.6241,8.88,,V
2452887.4271,9.10,,V
2452888.3264,8.87,,V
2452889.312,8.83,,V
2452890.6375,9.23,,V
2452892.4375,9.00,,V
2452893.303,8.91,,V
2452893.6024,8.90,,V
2452895.4292,9.00,,V
2452895.5992,8.99,,V
2452896.422,8.90,,V
2452897.6082,9.08,,V
2452900.3333,8.95,,V
2452902.289,8.72,,V
2452904.60580,8.963,0.002,V
2452907.2451,10.29,,V
2452908.4963,10.00,,V
2452910.25,9.8,,V
2452910.5088,10.03,,V
2452911.5993,10.02,,V
2452912.5251,10.10,,V
2452912.60777,10.040,0.003,V
2452915.64839,9.373,0.019,V
2452915.64901,9.349,0.019,V
2452915.64962,9.348,0.019,V
2452915.65023,9.323,0.019,V
2452915.65086,9.335,0.019,V
2452915.65147,9.366,0.019,V
2452915.65208,9.329,0.019,V
2452916.5150,9.62,,V
2452917.57151,9.562,0.002,V
2452918.230,9.80,,V
2452921.58310,10.268,0.004,V
2452922.5373,10.20,,V
2452924.5450,10.06,,V
2452929.5452,10.15,,V
2452931.5478,10.55,,V
2452933.5485,11.53,,V
2452935.245,10.95,,V
2452939.5073,11.53,,V
2452943.5082,11.96,,V
2454974.5149,<14.746,,CV
2454978.5001,<14.746,,CV
2454981.5578,<14.746,,CV
2455021.4745,<14.746,,CV
2455023.3930,<14.746,,CV
2455033.4587,16.151,0.194,CV
2455038.3925,<14.746,,CV
2455041.4246,16.108,0.185,CV
2455045.375,<14.746,,CV
2455338.5318,<14.746,0.082,CV
2456147.40661,<13.983,0.157,CV
2456178.32848,<13.963,0.187,CV
2458945.59941,<13.96,0.186,CV
2458989.47396,<14.017,0.267,CV
2458996.48345,<14.728,0.149,CV
2458998.44912,<14.667,0.206,CV
