2457067.21065,9.498,0.020,V
2457067.22648,9.517,0.027,V
2457069.210856,9.9640,0.0095,V
2457069.211852,9.9534,0.0097,V
2457069.212859,9.9567,0.0095,V
2457069.213866,9.9678,0.0092,V
2457069.214861,9.9517,0.0086,V
2457069.215868,9.9508,0.0067,V
2457069.216875,9.9516,0.0065,V
2457069.217882,9.9616,0.0072,V
2457069.218889,9.9558,0.0074,V
2457069.219896,9.9612,0.0078,V
2457070.22662,10.080,0.023,V
2457070.316871,10.086,0.068,V
2457071.16066,10.184,0.018,V
2457071.186829,10.2222,0.0102,V
2457071.187836,10.2204,0.0097,V
2457071.188843,10.2420,0.0096,V
2457071.189838,10.2294,0.0096,V
2457071.190856,10.2079,0.0110,V
2457071.191852,10.1993,0.0196,V
2457071.192859,10.2745,0.0244,V
2457071.193877,10.1606,0.0249,V
2457071.194873,10.1732,0.0392,V
2457071.28983,10.331,0.019,V
2457072.228733,10.401,0.154,V
2457072.23558,10.471,0.002,V
2457072.326911,10.483,0.085,V
2457073.217459,10.791,0.034,V
2457073.24447,10.338,0.006,V
2457073.253947,10.68,0.01,V
2457073.326199,10.708,0.042,V
2457074.196887,10.796,0.006,V
2457074.198073,10.715,0.249,V
2457074.328838,10.898,0.093,V
2457076.180463,11.1506,0.0085,V
2457076.18147,11.1592,0.0089,V
2457076.182488,11.1472,0.0090,V
2457076.183484,11.1539,0.0090,V
2457076.184491,11.1660,0.0084,V
2457076.185498,11.1581,0.0079,V
2457076.186505,11.1670,0.0089,V
2457076.187512,11.1706,0.0083,V
2457076.188495,11.1959,0.0085,V
2457076.189502,11.1792,0.0086,V
2457076.190509,11.1709,0.0081,V
2457076.191505,11.1779,0.0087,V
2457076.192512,11.1645,0.0083,V
2457076.193507,11.1649,0.0080,V
2457076.194502,11.1763,0.0087,V
2457076.195498,11.2011,0.0086,V
2457076.196412,11.1837,0.0083,V
2457076.197419,11.1806,0.0089,V
2457076.198333,11.1924,0.0093,V
2457076.19934,11.1817,0.0094,V
2457076.286256,11.108,0.041,V
2457078.193588,11.1710,0.0096,V
2457078.194606,11.1980,0.0099,V
2457078.195613,11.2030,0.0103,V
2457078.196609,11.2171,0.0102,V
2457078.197604,11.2041,0.0100,V
2457078.1986,11.2112,0.0105,V
2457078.199595,11.2116,0.0099,V
2457078.20059,11.2106,0.0102,V
2457078.201597,11.2366,0.0104,V
2457078.202604,11.2090,0.0100,V
2457078.2036,11.2125,0.0110,V
2457078.204606,11.1887,0.0105,V
2457078.205613,11.1901,0.0108,V
2457078.206632,11.1983,0.0110,V
2457078.207604,11.1729,0.0109,V
2457078.208611,11.2039,0.0112,V
2457078.209606,11.2059,0.0104,V
2457078.210613,11.1942,0.0103,V
2457078.21162,11.2104,0.0101,V
2457078.212639,11.2072,0.0109,V
2457080.167789,11.5243,0.0043,V
2457083.191389,11.9713,0.0042,V
2457083.211047,11.739,0.603,V
2457084.158692,12.2250,0.0053,V
2457085.28039,12.34,,V
2457086.163432,12.308,0.128,V
2457087.131771,12.5385,0.0156,V
2457087.160885,12.441,0.033,V
2457087.289381,12.516,0.023,V
2457090.204971,12.752,0.045,V
2457090.226926,12.883,0.044,V
2457091.152894,12.9054,0.0099,V
2457092.199497,12.959,0.021,V
2457093.129005,13.2526,0.0138,V
2457094.107014,13.3432,0.0134,V
2457094.215714,13.360,0.067,V
2457095.28316,13.3893,0.0112,V
2457096.138918,13.304,0.104,V
2457097.115104,13.4435,0.0081,V
2457098.085162,13.4251,0.0113,V
2457099.128559,13.262,0.050,V
2457100.100266,13.45,0.02,V
2457100.101169,13.3716,0.0073,V
2457100.126672,13.199,0.394,V
2457101.183385,13.359,0.103,V
2457101.259549,13.3961,0.0087,V
2457102.082014,13.62,0.04,V
2457102.103472,13.5302,0.0093,V
2457102.266487,13.437,0.089,V
2457103.071632,13.4976,0.0091,V
2457103.117668,13.454,0.056,V
2457103.225764,13.52,0.01,V
2457103.255948,13.585,0.028,V
2457104.161887,13.5715,0.0089,V
2457105.111996,13.615,0.039,V
2457105.252222,13.6492,0.0105,V
2457106.076667,13.6742,0.0093,V
2457107.106603,13.498,0.045,V
2457107.252593,13.5626,0.0115,V
2457109.163281,13.551,0.067,V
2457109.245285,13.768,0.073,V
2457110.236042,13.6604,0.0104,V
2457111.097957,13.541,0.077,V
2457111.228229,13.62,0.02,V
2457112.092946,13.408,0.185,V
2457112.240259,13.58,0.03,V
2457112.248854,13.5985,0.0109,V
2457113.047755,13.56,0.03,V
2457114.233067,13.4821,0.0427,V
2457114.233067,13.4590,0.0352,V
2457115.084832,13.507,0.041,V
2457117.036331,14.0,0.10,V
2457117.079334,13.550,0.055,V
2457120.220090,13.955,0.029,V
2457121.07380,13.913,0.007,V
2457121.287836,13.9936,0.0205,V
2457122.06345,13.88,0.01,V
2457122.251181,13.9562,0.0426,V
2457123.11453,13.80,0.025,V
2457123.138876,13.911,0.084,V
2457124.173275,13.7063,0.0147,V
2457124.191467,13.747,0.037,V
2457125.056451,13.78,0.02,V
2457125.242523,13.7732,0.0189,V
2457126.071956,13.8147,0.0137,V
2457126.081076,13.80,0.015,V
2457127.132459,13.597,0.049,V
2457127.284074,13.6186,0.0309,V
2457128.097587,13.487,0.065,V
2457129.01309,13.6712,0.0114,V
2457132.047471,13.444,0.024,V
2457132.261759,13.4850,0.0105,V
2457132.301088,13.32,0.012,V
2457134.022431,13.7332,0.0065,V
2457134.036858,13.625,0.049,V
2457134.261921,13.78,0.02,V
2457135.111476,13.695,0.035,V
2457135.24419,13.8452,0.0057,V
2457137.031742,13.549,0.025,V
2457139.194421,14.0055,0.0140,V
