2457094.87500,<4.7,,CV
2457096.84375,6.0,0.2,CV
2457097.23611,6.4,0.2,CV
2457097.83472,5.9,0.12,CV
2457097.86111,6.0,0.3,CV
2457098.27431,5.6,0.12,CV
2457098.2946,6.06,0.04,V
2457098.85069,6.35,0.1,CV
2457098.87847,6.3,0.1,CV
2457098.88542,5.85,0.3,CV
2457099.201453,6.157,0.084,V
2457099.23611,5.77,0.1,CV
2457099.31597,5.73,0.07,CV
2457099.668,5.45,0.17,V
2457099.81667,5.82,0.07,CV
2457099.89444,5.68,0.07,CV
2457100.200723,5.667,0.110,V
2457100.21944,5.63,0.07,CV
2457100.2507,5.34,0.05,V
2457100.27083,5.55,0.07,CV
2457100.7969,5.13,0.56,CV
2457100.80556,5.42,0.07,CV
2457100.81250,5.83,0.3,CV
2457101.24444,5.36,0.05,CV
2457101.2525,5.11,0.08,V
2457101.658,5.12,0.06,V
2457101.661,4.98,0.09,V
2457101.79757,5.14,0.3,CV
2457101.81944,4.97,0.07,CV
2457101.8334,4.93,0.29,CV
2457101.91130,4.827,0.021,V
2457102.17386,4.716,0.004,V
2457102.27014,4.86,0.07,CV
2457102.657,4.62,0.08,V
2457102.659,4.57,0.11,V
2457102.77083,4.56,0.07,CV
2457102.81250,4.61,0.05,CV
2457102.81250,4.63,0.07,CV
2457102.82292,4.56,0.33,CV
2457102.82292,4.30,0.21,CV
2457102.82292,4.55,0.28,CV
2457102.8282,4.7,0.15,CV
2457102.84167,4.73,0.05,CV
2457102.85208,4.58,0.05,CV
2457102.85417,4.63,0.07,CV
2457102.88542,4.5,0.1,CV
2457102.88542,4.61,0.07,CV
2457102.90417,4.55,0.05,CV
2457103.17416,4.318,0.003,V
2457103.23611,4.55,0.05,CV
2457103.26181,4.58,0.07,CV
2457103.32083,4.63,0.05,CV
2457103.83681,5.05,0.12,CV
2457104.17222,4.95,0.12,CV
2457104.65347,5.5,0.1,CV
2457104.75000,5.52,0.3,CV
2457104.88542,5.3,0.12,CV
2457104.9855,5.57,0.02,V
2457105.23264,5.62,0.1,CV
2457105.2613,5.58,0.05,V
2457105.31667,5.84,0.07,CV
2457105.85417,5.79,0.3,CV
2457105.85625,5.8,0.1,CV
2457105.85625,5.7,0.12,CV
2457106.19346,5.711,0.104,V
2457106.28194,5.85,0.12,CV
2457106.84375,6.0,0.12,CV
2457107.19500,6.031,0.064,V
2457107.25347,5.95,0.05,CV
2457107.30903,6.12,0.1,CV
2457107.73611,5.59,0.3,CV
2457107.8855,5.4,0.5,CV
2457107.90417,5.68,0.05,CV
2457108.2448,5.33,0.04,V
2457108.25000,5.6,0.12,CV
2457108.73403,5.25,0.07,CV
2457108.76181,5.19,0.07,CV
