2453702.0660,12.90,0.04,V
2453708.1701,12.57,0.01,V
2453708.571,11.96,,V
2453708.9836,12.51,0.04,V
2453709.0528,12.54,0.015,V
2453709.577,12.03,,V
2453709.9691,12.07,0.15,V
2453710.567,11.88,,V
2453711.593,11.92,,V
2453712.0306,12.57,0.03,V
2453712.2078,12.61,0.01,V
2453714.0125,12.58,0.025,V
2453714.1,12.55,0.01,V
2453714.9595,12.67,0.,V
2453718.0186,12.88,,V
2453719.0312,12.69,0.035,V
2453719.0347,12.69,,V
2453719.1120,12.55,,V
2453722.0292,12.60,0.025,V
2453723.0,12.81,0.015,V
2453723.9611,13.11,0.01,V
2453724.0396,13.08,,V
2453724.5994,13.14,,V
2453725.0069,13.49,0.03,V
2453725.0634,13.35,0.02,V
2453727.0056,12.81,0.01,V
2453728.5703,13.02,,V
2453729.1472,13.21,0.02,V
2453730.0299,13.72,0.02,V
2453732.1264,13.44,0.05,V
2453735.025,13.99,0.02,V
2453735.1646,14.05,0.01,V
2453735.9611,13.48,0.025,V
2453735.98409,13.482,,V
2453735.98551,13.48,,V
2453735.98693,13.492,,V
2453735.98834,13.502,,V
2453735.98977,13.484,,V
2453735.99118,13.469,,V
2453735.99260,13.523,,V
2453735.99402,13.524,,V
2453735.99544,13.51,,V
2453735.99686,13.5,,V
2453735.99828,13.53,,V
2453735.99970,13.493,,V
2453736.00111,13.501,,V
2453736.00253,13.532,,V
2453736.00396,13.546,,V
2453736.00538,13.508,,V
2453736.00679,13.508,,V
2453736.00822,13.508,,V
2453736.00963,13.524,,V
2453736.01105,13.469,,V
2453736.01247,13.514,,V
2453736.01389,13.513,,V
2453736.01531,13.534,,V
2453736.01672,13.486,,V
2453736.01815,13.485,,V
2453736.01956,13.502,,V
2453736.02098,13.507,,V
2453736.02241,13.47,,V
2453736.02382,13.493,,V
2453736.02524,13.494,,V
2453736.02666,13.498,,V
2453736.02808,13.491,,V
2453736.02949,13.505,,V
2453736.03091,13.497,,V
2453736.03234,13.476,,V
2453736.03375,13.492,,V
2453736.03517,13.5,,V
2453736.03659,13.504,,V
2453736.03801,13.461,,V
2453736.03942,13.519,,V
2453736.04084,13.477,,V
2453736.04227,13.495,,V
