2436399.694,5.15,,V
2436399.803,5.25,,V
2436400.682,5.65,,V
2436401.701,6.03,,V
2436402.680,6.38,,V
2436403.682,6.64,,V
2436404.679,6.98,,V
2436405.686,7.20,,V
2436407.684,7.54,,V
2436408.688,7.66,,V
2452086.6213,11.06,,V
2452087.6230,11.14,,V
2452467.6411,11.38,,V
2452472.9323,11.21,,V
2452493.6205,11.19,,V
2452562.5348,11.31,0.02,V
2452563.6076,11.04,,V
2452655.731,11.3,,V
2452777.7993,10.76,,V
2452791.3899,10.72,,V
2452791.3901,10.74,,V
2452791.8264,10.60,,V
2452800.7153,10.5,,V
2452811.6653,10.74,,V
2452820.6674,11.01,,V
2452827.8028,10.82,,V
2452827.8028,11.34,,V
2452834.7536,10.80,0.04,V
2452834.7549,10.77,0.03,V
2452834.7567,10.74,0.04,V
2452841.6917,10.92,,V
2452850.6458,11.03,,V
2452850.7208,11.32,0.04,V
2452854.7299,11.06,,V
2452855.6569,11.03,,V
2452858.6465,11.10,,V
2452862.6458,11.35,,V
2452870.609,11.06,,V
2452871.6069,10.97,,V
2452875.5943,11.19,,V
2452882.6565,11.00,0.02,V
2452890.6278,11.26,,V
2452899.6191,11.25,0.04,V
2452900.6116,11.16,0.03,V
2452906.6208,10.97,,V
2452906.6215,10.95,,V
2452908.6046,10.95,0.02,V
2452920.5629,10.62,0.03,V
2452921.5527,10.89,0.04,V
2452926.5531,10.98,0.02,V
2452935.226,10.98,,V
2452937.5375,10.96,0.04,V
2452953.4912,10.86,0.02,V
2452964.4812,11.33,0.03,V
2452964.4842,11.27,0.02,V
2452964.4876,11.24,0.03,V
2453087.8640,11.45,0.04,V
2453142.8140,11.31,0.04,V
2453143.5746,11.17,,V
2453169.5014,11.75,,V
2453187.7308,11.16,0.03,V
2453189.4183,11.35,,V
2453197.7592,11.10,0.04,V
2453201.5019,11.07,,V
2453215.6807,10.89,0.02,V
2453215.6821,10.92,0.02,V
2453215.6835,10.97,0.03,V
2453224.7372,11.22,0.02,V
2453226.7112,11.25,0.02,V
2453226.7126,11.21,0.02,V
2453226.7139,11.17,0.02,V
2453231.5318,11.34,,V
2453236.3433,11.07,,V
2453236.3435,11.06,,V
2453239.7036,11.20,0.02,V
2453249.6573,11.14,0.03,V
2453254.4007,11.6,,V
2453261.2991,11.45,,V
2453261.2993,11.46,,V
2453261.6321,11.48,0.03,V
2453265.3684,11.3,,V
2453268.6028,11.21,0.02,V
2453269.5878,11.39,0.03,V
2453284.5891,10.88,0.02,V
2453290.5328,10.82,0.04,V
2453304.5172,10.78,0.03,V
2453304.5195,10.83,0.03,V
2453304.5213,10.87,0.03,V
2453322.4818,11.11,0.03,V
2453322.4883,11.14,0.02,V
2453322.4901,11.22,0.03,V
2453330.19,10.7,0.1,V
2453331.17,10.6,,V
2453435.9097,10.51,0.07,V
2453465.8581,10.54,0.03,V
2453470.8222,10.47,0.04,V
2453474.8901,10.70,0.03,V
2453475.8309,10.75,0.02,V
2453488.9068,10.76,,V
2453495.8478,10.51,0.04,V
2453516.8710,10.57,0.04,V
2453520.517,10.60,,V
2453522.8727,10.46,0.05,V
2453523.509,10.3,,V
2453528.502,10.38,,V
2453531.503,10.55,,V
2453535.742,10.2,,V
2453537.477,10.45,,V
2453539.479,10.41,,V
2453539.8045,10.31,0.01,V
2453541.7552,10.20,0.02,V
2453545.477,10.52,,V
2453547.469,10.65,,V
2453549.475,10.30,,V
2453550.456,10.54,,V
2453551.463,10.65,,V
2453554.711,10.2,,V
2453555.7033,10.56,0.03,V
2453559.444,10.48,0.03,V
2453562.7192,10.50,0.04,V
2453563.500,10.59,0.03,V
2453565.480,10.46,0.04,V
2453569.480,10.61,0.03,V
2453570.479,10.60,0.03,V
2453571.7440,10.61,0.04,V
