2456744.974,11.94,0.05,V
2456745.972,12.10,0.05,V
2456746.7049,12.15,0.07,V
2456746.7056,12.15,0.07,V
2456748.198299,12.750,0.009,V
2456748.881238,12.951,0.044,V
2456750.21990,13.504,0.032,V
2456750.909028,13.686,0.030,V
2456752.296748,14.100,0.109,V
2456762.269664,16.013,0.099,V
2456763.267095,16.437,0.160,V
2456764.264271,16.027,0.076,V
2456766.258715,16.262,0.143,V
2456770.265046,16.121,0.099,V
2456771.340602,16.495,0.106,V
2456772.254248,16.535,0.099,V
2456774.241435,16.332,0.101,V
2456777.281030,16.452,0.078,V
2456780.225116,16.147,0.092,V
2456781.217546,16.239,0.109,V
2456783.65363,<15.506,0.087,V
2456784.209282,16.214,0.114,V
2456785.218576,16.273,0.150,V
2456789.196030,16.388,0.190,V
2456790.196481,16.456,0.127,V
2456792.187546,16.506,0.137,V
2456798.187257,16.330,0.137,V
2456799.311076,16.413,0.127,V
2456800.61255,<15.417,0.074,V
2456802.172720,16.323,0.154,V
2456804.952905,16.487,0.085,V
2456805.974977,16.284,0.100,V
2456806.5903,<15.533,0.096,V
2456807.045776,16.289,0.101,V
2456811.5765,<15.607,0.109,V
2456814.176771,16.173,0.125,V
2456815.130637,16.184,0.121,V
2456816.070706,16.340,0.108,V
2456816.917905,16.490,0.134,V
2456818.128704,16.431,0.110,V
2456819.053137,16.161,0.161,V
2456823.177488,16.713,0.093,V
2456828.129850,16.355,0.121,V
2456835.106435,16.386,0.129,V
2456841.098796,16.443,0.115,V
2456844.954537,16.492,0.126,V
2456849.934039,16.487,0.137,V
2456851.47028,<13.207,0.049,V
2456855.120752,16.266,0.105,V
2456860.060394,16.350,0.129,V
2456862.449,<14.838,0.057,V
2456873.41669,<15.537,0.091,V
