2458200.024275,6.9,0.1,V
2458201.57480,6.516,0.005,CV
2458201.68487,6.417,0.005,CV
2458201.94385,6.312,0.028,V
2458202.03286,6.484,,V
2458202.14583,6.4,,V
2458202.67204,6.413,0.005,CV
2458202.69006,6.322,0.005,CV
2458202.93839,6.197,0.050,V
2458203.55539,6.492,0.005,CV
2458203.57136,6.484,0.005,CV
2458203.58699,6.501,0.005,CV
2458203.60261,6.438,0.005,CV
2458203.61824,6.401,0.005,CV
2458203.63421,6.367,0.005,CV
2458203.93975,5.918,0.015,V
2458204.01000,6.986,0.039,V
2458204.45506,5.939,0.049,V
2458204.61592,6.076,0.068,V
2458204.62062,5.998,0.030,V
2458205.03999,6.498,0.010,V
2458205.95936,5.864,0.025,V
2458206.94465,6.468,0.029,V
2458207.55370,6.661,0.007,CV
2458207.56933,6.639,0.007,CV
2458207.58495,6.618,0.007,CV
2458207.60092,6.632,0.007,CV
2458207.63218,6.603,0.006,CV
2458207.92197,6.562,0.046,V
2458208.60372,6.565,0.012,CV
2458208.61761,6.533,0.022,CV
2458208.91954,6.563,0.025,V
2458209.93284,6.436,0.057,V
2458210.50574,6.53,,CV
2458210.94463,6.654,0.035,V
2458212.62192,6.790,0.009,V
2458213.49602,6.850,0.008,V
2458213.57243,6.818,0.016,CV
2458213.57982,6.771,0.013,CV
2458213.58920,6.770,0.007,CV
2458213.60205,6.717,0.007,CV
2458214.48053,6.151,0.015,V
2458214.49296,6.160,0.011,V
2458214.51489,6.472,0.005,CV
2458214.52774,6.527,0.005,CV
2458214.54337,6.565,0.005,CV
2458214.56420,6.499,0.008,CV
2458214.57497,6.463,0.005,CV
2458214.59059,6.461,0.005,CV
2458214.60622,6.424,0.005,CV
2458214.62184,6.319,0.005,CV
2458215.51144,6.626,0.007,CV
2458215.52602,6.724,0.010,CV
2458215.59686,6.72,0.012,CV
2458215.60658,6.684,0.005,CV
2458215.62201,6.551,0.005,CV
2458216.03850,6.548,0.050,V
2458216.51665,6.758,0.006,CV
2458216.56388,6.74,0.006,CV
2458216.57950,6.723,0.005,CV
2458216.58853,6.671,0.016,V
2458216.59547,6.688,0.006,CV
2458216.60867,6.644,0.006,CV
2458216.63193,6.488,0.007,CV
2458217.52396,6.69,0.005,CV
2458217.53859,6.662,0.006,CV
2458217.55412,6.698,0.007,CV
2458217.57068,6.671,0.007,CV
2458217.93347,6.367,0.040,V
2458218.57120,6.309,0.006,CV
2458218.58196,6.313,0.004,CV
2458218.59620,6.238,0.005,CV
2458219.50489,6.468,0.005,CV
2458219.52052,6.474,0.005,CV
2458219.53232,6.5,0.008,CV
2458221.47570,6.380,0.013,V
2458222.54347,6.431,0.005,CV
2458222.55840,6.373,0.005,CV
2458222.57402,6.382,0.005,CV
2458222.58652,6.354,0.005,CV
2458223.63680,6.124,0.008,V
2458224.55530,6.408,0.012,CV
2458226.48450,6.542,0.005,CV
2458226.50047,6.564,0.005,CV
2458226.51216,6.334,0.010,V
2458226.51610,6.535,0.005,CV
2458226.53172,6.464,0.005,CV
2458226.54735,6.491,0.005,CV
2458226.56332,6.469,0.005,CV
2458227.4131,6.192,0.000,V
2458227.46285,6.614,0.005,CV
