Name,geq_20,AAVSO data usable?,Hard_Mask,Elias_Mask,chunksize,xlim_1,xlim_2,decline_start,recover_end,Recurrent,category,Official,Name Source
V1656 Sco,1,,0,1,2,0,200,0,200,0,-2,V1656 Sco,Koji's List
V1663 Aql,1,,0,-1,,-1,,0,1000,0,-2,V1663 Aql,CBAT
V2574 Oph,0,,0,,,-1,,0,1000,0,-3,V2574 Oph,CBAT
V2575 Oph,1,,0,,,0,500,0,1000,0,-2,V2575 Oph,CBAT
V2576 Oph,0,,0,,,-1,,0,1000,0,-3,V2576 Oph,CBAT
V2615 Oph,0,,0,,,-1,,0,1000,0,-3,V2615 Oph,CBAT
V2670 Oph,1,,0,,,-1,,0,2500,0,-2,V2670 Oph,CBAT
V2671 Oph,0,,0,,,-1,,0,1000,0,-3,V2671 Oph,CBAT
V2672 Oph,1,,0,,2,-1,,0,1000,0,-2,V2672 Oph,CBAT
V2676 Oph,1,1,0,1,5,75,250,80,240,0,2,V2676 Oph,Koji's List
V2677 Oph,1,1,0,0,2,-1,,4,1000,0,0,V2677 Oph,Koji's List
V2944 Oph,1,,0,0,1,-1,,15,1000,0,-1,V2944 Oph,Koji's List
V339 Del,1,1,0,1,,10,500,0,500,0,2,V339 Del,Koji's List
V3661 Oph,1,,0,0,1,-1,,0,1000,0,-1,V3661 Oph,Koji's List
V382 Nor,1,,0,,,-1,,0,1000,0,-2,V0382 Nor,CBAT
V3890 Sgr,1,,0,,,-1,,-1300,-100,1,-3,V3890 Sgr,Koji's List
V407 Lup,1,,0,0,,-1,,0,1000,0,-2,V407 Lup,Koji's List
V475 Sct,1,1,0,,3,0,500,0,800,0,2,V0475 Sct,CBAT
V496 Sct,1,,0,,,0,1000,0,1000,0,-2,V496 Sct,CBAT
V5114 Sgr,1,,0,,,-1,,0,1000,0,-2,V5114 Sgr,CBAT
V5117 Sgr,1,,0,,,0,1000,0,1000,0,-2,V5117 Sgr,CBAT
V549 Vel,1,,0,0,,-1,,0,1000,0,-2,V549 Vel,Koji's List
V5558 Sgr,1,,0,,,-1,,0,1000,0,-2,V5558 Sgr,CBAT
V5579 Sgr,1,,0,,,-1,,0,1000,0,-2,V5579 Sgr,CBAT
V5583 Sgr,1,,0,,3,-1,,0,1000,0,-2,V5583 Sgr,CBAT
V5584 Sgr,1,1,0,,,0,400,0,400,0,2,V5584 Sgr,CBAT
V5586 Sgr,1,,0,,,-1,,0,1000,0,-2,V5586 Sgr,CBAT
V5588 Sgr,1,1,0,,1,-1,,0,1000,0,0,V5588 Sgr,Koji's List
V5589 Sgr,1,1,0,0,1,-1,,0,1000,0,0,V5589 Sgr,Koji's List
V5590 Sgr,1,,0,-1,,-1,,0,1000,0,-2,V5590 Sgr,Koji's List
V5591 Sgr,1,1,0,0,,-1,,0,1000,0,0,V5591 Sgr,Koji's List
V5592 Sgr,1,1,0,1,2,0,250,0,400,0,2,V5592 Sgr,Koji's List
V5593 Sgr,1,,0,0,,-1,,0,1000,0,-2,V5593 Sgr,Koji's List
V5666 Sgr,1,,0,1,2,0,200,0,400,0,-1,V5666 Sgr,Koji's List
V5667 Sgr,1,,0,0,5,-1,,0,500,0,-1,V5667 Sgr,Koji's List
V5668 Sgr,1,1,0,1,10,0,250,0,160,0,2,V5668 Sgr,Koji's List
V5669 Sgr,1,,0,0,,-1,,-1100,150,0,-2,V5669 Sgr,Koji's List
V574 Pup,1,,0,,5,-1,,0,450,0,0,V0574 Pup,CBAT
V5853 Sgr,1,,0,0,,-1,,0,1000,0,-2,V5853 Sgr,Koji's List
V5856 Sgr,1,,0,0,,-1,,0,1000,0,-2,V5856 Sgr,Koji's List
V597 Pup,0,,0,,,-1,,0,1000,0,-3,V597 Pup,CBAT
V598 Pup,1,,0,,,-1,,0,1000,0,-2,V598 Pup,CBAT
V612 Sct,1,,0,0,2,-1,,70,1000,0,0,V612 Sct,Koji's List
V679 Car,1,,0,,,-1,,0,1000,0,-2,V679 Car,Koji's List
V745 Sco,1,1,0,0,1,0,270,0,1000,1,0,V745 Sco,Koji's List
V834 Car,1,,0,0,4,0,200,0,150,0,0,V834 Car,Koji's List
V906 Car,1,1,0,1,5,0,400,0,300,0,2,V906 Car,Koji's List
V959 Mon,1,,0,0,1,-1,,0,1000,0,0,V959 Mon,Koji's List
YY Dor,1,,0,,1,0,500,0,1000,0,-2,YY Dor,SMARTS
